section	validation	adaptation_or_analysis	seeds	effective_units	roc_auc_mean	roc_auc_sd	pr_auc	pr_lift	brier_score	calibration_slope	version_locked_baseline_auc	delta_auc	median_delta_auc	descriptive_bootstrap_95_interval	exact_signflip_p	positive_negative_nearzero_units	interpretation
A_patient_pooled	LODO	Standard transductive	5		0.536	0.0006	0.617	1.032	0.307	0.07	0.523	0.013					
A_patient_pooled	LODO	Online adaptive	5		0.552	0.0007	0.627	1.049	0.32	0.088	0.523	0.029					
A_patient_pooled	Publication-family holdout	Standard transductive	5		0.485	0.0007	0.584	0.977	0.362	-0.054	0.474	0.011					
A_patient_pooled	Publication-family holdout	Online adaptive	5		0.496	0.001	0.588	0.983	0.365	-0.033	0.474	0.023					
B_effective_unit	LODO	Standard transductive		9								0.009	0.004	0.001 to 0.019	0.109	5/2/2	
B_effective_unit	LODO	Online adaptive		9								0.032	0.017	0.007 to 0.064	0.051	6/3/0	
B_effective_unit	Publication-family holdout	Standard transductive		5								0.017	0.012	0.005 to 0.029	0.125	4/0/1	
B_effective_unit	Publication-family holdout	Online adaptive		5								0.023	0.027	0.007 to 0.037	0.125	4/1/0	
C_influence	LODO	All nine LODO domains		9								0.032			0.051		Near threshold; not conventionally significant
C_influence	LODO	Exclude Lee_Barcelona (n=12)		8								0.019			0.102		Effect attenuated after removing the smallest domain
