scheme	held_out_group	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope
LODO	Frankel_US	online_adaptive	20260802	locked_downstream	39	24	15	0.6153846153846154	0.5111111111111111	0.6325976277951257	1.0279711451670792	0.3818453751633288	1.2164304117120832	0.4804256873749064	0.010538299306557452
LODO	Frankel_US	online_adaptive	20260802	embedded_DEBIASM	39	24	15	0.6153846153846154	0.5972222222222222	0.6864306182264173	1.115449754617928	0.2306987729957733	0.6541011826532233	-0.7109152830766916	2.6506086493009384
LODO	Frankel_US	online_adaptive	20260803	locked_downstream	39	24	15	0.6153846153846154	0.5166666666666667	0.6376278984503964	1.036145334981894	0.3806156305258812	1.209631818300893	0.4822285600256488	0.012557392683242794
LODO	Frankel_US	online_adaptive	20260803	embedded_DEBIASM	39	24	15	0.6153846153846154	0.5944444444444444	0.6758136407661427	1.0981971662449819	0.23075206330074677	0.6542523315985183	-0.6769001363451475	2.4947820440600594
LODO	Frankel_US	online_adaptive	20260804	locked_downstream	39	24	15	0.6153846153846154	0.5083333333333333	0.6296214373189352	1.0231348356432697	0.38068737061324653	1.21510956447586	0.4810231237067871	0.011149486932315166
LODO	Frankel_US	online_adaptive	20260804	embedded_DEBIASM	39	24	15	0.6153846153846154	0.6000000000000001	0.6971592897159583	1.1328838457884323	0.23006183806846991	0.6528116435816872	-0.7496731590332694	2.88749411710853
LODO	Frankel_US	online_adaptive	20260805	locked_downstream	39	24	15	0.6153846153846154	0.5166666666666667	0.6376278984503964	1.036145334981894	0.38179779535228003	1.2161796495598762	0.4807172556268814	0.010834469961853603
LODO	Frankel_US	online_adaptive	20260805	embedded_DEBIASM	39	24	15	0.6153846153846154	0.5972222222222223	0.6837867787392807	1.1111535154513312	0.23049878439948066	0.6537138834522466	-0.6536097908825286	2.6421250234396108
LODO	Frankel_US	online_adaptive	20260806	locked_downstream	39	24	15	0.6153846153846154	0.5166666666666666	0.6389010465985445	1.0382142007226347	0.3815443706284115	1.2149438354961002	0.4811586973719724	0.011303993427008484
LODO	Frankel_US	online_adaptive	20260806	embedded_DEBIASM	39	24	15	0.6153846153846154	0.5944444444444444	0.6945682533013925	1.1286734116147628	0.23037115224152233	0.6534184450151352	-0.7394787474997541	2.636095372999534
LODO	Frankel_US	standard_transductive	20260802	locked_downstream	39	24	15	0.6153846153846154	0.5111111111111111	0.6419253781383222	1.0431287394747735	0.34535981490960505	1.0362250165200413	0.46216078242815656	-0.021177900850643593
LODO	Frankel_US	standard_transductive	20260802	embedded_DEBIASM	39	24	15	0.6153846153846154	0.4555555555555556	0.5609350897301495	0.9115195208114929	0.24843109041259653	0.6980260598569454	0.7972030996615926	-0.5632426145647886
LODO	Frankel_US	standard_transductive	20260803	locked_downstream	39	24	15	0.6153846153846154	0.5166666666666666	0.6442872138334912	1.046966722479423	0.34381893585780743	1.0306291511211059	0.4640697615145406	-0.016251926995306715
LODO	Frankel_US	standard_transductive	20260803	embedded_DEBIASM	39	24	15	0.6153846153846154	0.45833333333333337	0.5631025981476578	0.9150417219899439	0.24823308626923682	0.6979704450287161	0.7871148289119462	-0.5244757598466093
LODO	Frankel_US	standard_transductive	20260804	locked_downstream	39	24	15	0.6153846153846154	0.5166666666666666	0.6460559697689139	1.049840950874485	0.3445633155097623	1.0359023637145777	0.4630033196316028	-0.018834506355389875
LODO	Frankel_US	standard_transductive	20260804	embedded_DEBIASM	39	24	15	0.6153846153846154	0.44722222222222224	0.5579495537283091	0.9066680248085023	0.24814860814171688	0.6962321860827276	0.7970037792878333	-0.5869596316447601
LODO	Frankel_US	standard_transductive	20260805	locked_downstream	39	24	15	0.6153846153846154	0.5055555555555555	0.6396645592470686	1.0394549087764864	0.34469880509173817	1.0340853191151054	0.46362613748946274	-0.017266610604434407
LODO	Frankel_US	standard_transductive	20260805	embedded_DEBIASM	39	24	15	0.6153846153846154	0.45277777777777783	0.5603920689425634	0.9106371120316655	0.24945699420709241	0.6999390342094922	0.8264254501471965	-0.6275040389337583
LODO	Frankel_US	standard_transductive	20260806	locked_downstream	39	24	15	0.6153846153846154	0.5111111111111111	0.6419253781383222	1.0431287394747735	0.3450587583186953	1.034535613092055	0.4630042710254702	-0.019008893665640174
LODO	Frankel_US	standard_transductive	20260806	embedded_DEBIASM	39	24	15	0.6153846153846154	0.45000000000000007	0.5591023864028809	0.9085413779046814	0.2493573365387727	0.6997691320668555	0.8176329014031369	-0.5866513041484703
LODO	Gopalakrishnan_US	online_adaptive	20260802	locked_downstream	25	14	11	0.56	0.5584415584415584	0.590771077661834	1.0549483529675607	0.2824325894653639	0.8860423459729628	0.18621137685890454	0.08338914880291116
LODO	Gopalakrishnan_US	online_adaptive	20260802	embedded_DEBIASM	25	14	11	0.56	0.5454545454545455	0.6175697990760103	1.1028032126357326	0.24842267452847083	0.6902359584552109	-0.07960170073728476	0.6912466821951924
LODO	Gopalakrishnan_US	online_adaptive	20260803	locked_downstream	25	14	11	0.56	0.564935064935065	0.6026758395665959	1.076206856368921	0.28171397914939533	0.8817164210917591	0.18286109699796033	0.08874546947500198
LODO	Gopalakrishnan_US	online_adaptive	20260803	embedded_DEBIASM	25	14	11	0.56	0.5844155844155845	0.6416332356394467	1.1457736350704406	0.2471950564756523	0.6875247897427016	-0.3836046866672109	1.2710185969703667
LODO	Gopalakrishnan_US	online_adaptive	20260804	locked_downstream	25	14	11	0.56	0.551948051948052	0.5862256231163794	1.0468314698506773	0.28362932803653296	0.8895500448103438	0.18972047326266	0.07899505607722812
LODO	Gopalakrishnan_US	online_adaptive	20260804	embedded_DEBIASM	25	14	11	0.56	0.577922077922078	0.6371764579957857	1.137815103563903	0.24822026776408151	0.6897050011617532	-0.35964427030306423	1.1512217641850047
LODO	Gopalakrishnan_US	online_adaptive	20260805	locked_downstream	25	14	11	0.56	0.5714285714285714	0.6055644950287807	1.0813651696942512	0.2821160398450406	0.8818837767712746	0.18222889160429281	0.08889317217445725
LODO	Gopalakrishnan_US	online_adaptive	20260805	embedded_DEBIASM	25	14	11	0.56	0.5324675324675325	0.59449693356617	1.0616016670824462	0.2500712659493514	0.6936981784173202	0.06886078678562785	0.35967435435993167
