domain_a	domain_b	auc_a_to_b	auc_b_to_a	absolute_asymmetry
Frankel_US	Gopalakrishnan_US	0.6298701298701298	0.46944444444444444	0.16042568542568536
Frankel_US	Lee_Barcelona	0.3055555555555556	0.3416666666666667	0.036111111111111094
Frankel_US	Lee_Leeds	0.16249999999999998	0.38055555555555554	0.21805555555555556
Frankel_US	Lee_Manchester	0.4935897435897436	0.4388888888888889	0.05470085470085473
Frankel_US	Lee_PRIMM_NL	0.534435261707989	0.46388888888888885	0.0705463728191002
Frankel_US	Lee_PRIMM_UK	0.48773448773448774	0.41388888888888886	0.07384559884559888
Frankel_US	Matson_US	0.3630952380952381	0.5277777777777778	0.1646825396825397
Frankel_US	Spencer_US	0.5319609967497291	0.44166666666666665	0.09029433008306242
Gopalakrishnan_US	Lee_Barcelona	0.33333333333333337	0.4935064935064935	0.16017316017316013
Gopalakrishnan_US	Lee_Leeds	0.35	0.4805194805194805	0.13051948051948054
Gopalakrishnan_US	Lee_Manchester	0.5448717948717949	0.512987012987013	0.03188478188478194
Gopalakrishnan_US	Lee_PRIMM_NL	0.709366391184573	0.44805194805194803	0.261314443132625
Gopalakrishnan_US	Lee_PRIMM_UK	0.598845598845599	0.6168831168831168	0.018037518037517852
Gopalakrishnan_US	Matson_US	0.5535714285714286	0.6688311688311688	0.11525974025974017
Gopalakrishnan_US	Spencer_US	0.47887323943661975	0.4155844155844156	0.06328882385220413
Lee_Barcelona	Lee_Leeds	0.6875	0.7777777777777779	0.0902777777777779
Lee_Barcelona	Lee_Manchester	0.5641025641025641	0.2222222222222222	0.3418803418803419
Lee_Barcelona	Lee_PRIMM_NL	0.4380165289256199	0.5555555555555556	0.1175390266299357
Lee_Barcelona	Lee_PRIMM_UK	0.5512265512265513	0.41666666666666663	0.13455988455988466
Lee_Barcelona	Matson_US	0.45535714285714285	0.3611111111111111	0.09424603174603174
Lee_Barcelona	Spencer_US	0.4875406283856988	0.75	0.2624593716143012
Lee_Leeds	Lee_Manchester	0.49358974358974356	0.35	0.14358974358974358
Lee_Leeds	Lee_PRIMM_NL	0.45041322314049587	0.4875	0.03708677685950412
Lee_Leeds	Lee_PRIMM_UK	0.5266955266955268	0.7375	0.21080447330447327
Lee_Leeds	Matson_US	0.34523809523809523	0.7375	0.3922619047619048
Lee_Leeds	Spencer_US	0.4756229685807151	0.55	0.07437703141928492
Lee_Manchester	Lee_PRIMM_NL	0.5440771349862259	0.3141025641025641	0.2299745708836618
Lee_Manchester	Lee_PRIMM_UK	0.6176046176046177	0.3333333333333333	0.2842712842712844
Lee_Manchester	Matson_US	0.4166666666666667	0.34615384615384615	0.07051282051282054
Lee_Manchester	Spencer_US	0.45828819068255683	0.3269230769230769	0.1313651137594799
Lee_PRIMM_NL	Lee_PRIMM_UK	0.56998556998557	0.6597796143250688	0.08979404433949878
Lee_PRIMM_NL	Matson_US	0.5595238095238095	0.36914600550964183	0.1903778040141677
Lee_PRIMM_NL	Spencer_US	0.5140845070422535	0.5068870523415977	0.007197454700655803
Lee_PRIMM_UK	Matson_US	0.5148809523809523	0.49350649350649356	0.021374458874458768
Lee_PRIMM_UK	Spencer_US	0.5471289274106175	0.4314574314574315	0.11567149595318599
Matson_US	Spencer_US	0.47616468039003246	0.6041666666666666	0.12800198627663417
