domain_a	domain_b	auc_a_to_b	auc_b_to_a	absolute_asymmetry	null_mean	null_sd	null_95th	empirical_one_sided_p	fdr_q
Lee_Leeds	Matson_US	0.34523809523809523	0.7375	0.3922619047619048	0.1260592261904762	0.09343373612627318	0.30952380952380953	0.009995002498750625	0.233883058471
Lee_Manchester	Lee_PRIMM_UK	0.6176046176046177	0.3333333333333333	0.2842712842712844	0.09564713064713065	0.07001983977123379	0.2243520368520369	0.012993503248375811	0.233883058471
Gopalakrishnan_US	Lee_PRIMM_NL	0.709366391184573	0.44805194805194803	0.261314443132625	0.10098494687131052	0.07692276207395683	0.24695985832349468	0.04047976011994003	0.485757121439
Lee_Manchester	Lee_PRIMM_NL	0.5440771349862259	0.3141025641025641	0.2299745708836618	0.09823572261072261	0.07490939802889385	0.23876880695062508	0.06296851574212893	0.521739130435
Lee_Barcelona	Lee_Manchester	0.5641025641025641	0.2222222222222222	0.3418803418803419	0.1549775641025641	0.11806025501177897	0.38034188034188043	0.08245877061469266	0.521739130435
Lee_PRIMM_NL	Matson_US	0.5595238095238095	0.36914600550964183	0.1903778040141677	0.08958418191656828	0.06619839725194546	0.21663469106650912	0.08695652173913043	0.521739130435
Lee_Barcelona	Spencer_US	0.4875406283856988	0.75	0.2624593716143012	0.14057912001926087	0.10413699979021006	0.3427245094498616	0.13843078460769614	0.56131934033
Frankel_US	Lee_Leeds	0.16249999999999998	0.38055555555555554	0.21805555555555556	0.11894166666666667	0.08995860829380718	0.293125	0.14392803598200898	0.56131934033
Frankel_US	Matson_US	0.3630952380952381	0.5277777777777778	0.1646825396825397	0.09262440476190476	0.07050281119720717	0.2306349206349206	0.14942528735632185	0.56131934033
Lee_Leeds	Lee_PRIMM_UK	0.5266955266955268	0.7375	0.21080447330447327	0.1170160082972583	0.0878088488831606	0.28202020202020206	0.15592203898050974	0.56131934033
Lee_PRIMM_UK	Spencer_US	0.5471289274106175	0.4314574314574315	0.11567149595318599	0.07225635358381836	0.055064172152716695	0.1798449594224241	0.19790104947526238	0.595202398801
Matson_US	Spencer_US	0.47616468039003246	0.6041666666666666	0.12800198627663417	0.0789280748594129	0.05912485817353871	0.1924147448795336	0.1984007996001999	0.595202398801
Frankel_US	Gopalakrishnan_US	0.6298701298701298	0.46944444444444444	0.16042568542568536	0.11034641053391053	0.08039614481012176	0.26651154401154403	0.24287856071964017	0.672586783531
Lee_Manchester	Spencer_US	0.45828819068255683	0.3269230769230769	0.1313651137594799	0.0964869537739256	0.07423852926378645	0.24126038280967857	0.272863568215892	0.701649175412
Lee_PRIMM_NL	Lee_PRIMM_UK	0.56998556998557	0.6597796143250688	0.08979404433949878	0.07464941624032534	0.05432317771368563	0.17507542962088418	0.34382808595702147	0.758620689655
Gopalakrishnan_US	Matson_US	0.5535714285714286	0.6688311688311688	0.11525974025974017	0.104848079004329	0.0794988912715504	0.25869859307359294	0.3638180909545227	0.758620689655
Frankel_US	Spencer_US	0.5319609967497291	0.44166666666666665	0.09029433008306242	0.08060731762369086	0.06046841032287076	0.19622140965450818	0.37831084457771114	0.758620689655
Lee_Leeds	Lee_Manchester	0.49358974358974356	0.35	0.14358974358974358	0.1291841346153846	0.09635391791467751	0.31379807692307693	0.3793103448275862	0.758620689655
Gopalakrishnan_US	Lee_Barcelona	0.33333333333333337	0.4935064935064935	0.16017316017316013	0.1598715728715729	0.11974870755672229	0.39545454545454545	0.4352823588205897	0.772113943028
Gopalakrishnan_US	Lee_Leeds	0.35	0.4805194805194805	0.13051948051948054	0.13481728896103898	0.10073402922114165	0.332150974025974	0.4427786106946527	0.772113943028
Lee_Barcelona	Lee_PRIMM_UK	0.5512265512265513	0.41666666666666663	0.13455988455988466	0.1449642857142857	0.10599782094281059	0.35211038961038965	0.46526736631684157	0.772113943028
Frankel_US	Lee_PRIMM_UK	0.48773448773448774	0.41388888888888886	0.07384559884559888	0.08427656926406926	0.061924029899381804	0.20838023088023092	0.4917541229385307	0.772113943028
Frankel_US	Lee_PRIMM_NL	0.534435261707989	0.46388888888888885	0.0705463728191002	0.08488772956841138	0.06504516406170319	0.21083448117539036	0.5102448775612194	0.772113943028
Lee_Barcelona	Lee_PRIMM_NL	0.4380165289256199	0.5555555555555556	0.1175390266299357	0.14133080808080808	0.10389797524115699	0.3409205693296603	0.5147426286856571	0.772113943028
Gopalakrishnan_US	Spencer_US	0.47887323943661975	0.4155844155844156	0.06328882385220413	0.09313399980301389	0.0707923731548589	0.22795443992627076	0.585207396301849	0.803812379525
Lee_Manchester	Matson_US	0.4166666666666667	0.34615384615384615	0.07051282051282054	0.10651968864468864	0.0808735680435192	0.2635187728937729	0.6016991504247876	0.803812379525
Lee_Leeds	Spencer_US	0.4756229685807151	0.55	0.07437703141928492	0.11590248510292524	0.085892936753673	0.2775426598049837	0.6081959020489756	0.803812379525
