feature_cap	train_domain	test_domain	train_n	test_n	train_responders	test_responders	selected_features	pseudocount	roc_auc	pr_auc	brier
10	Frankel_US	Gopalakrishnan_US	39	25	24	14	10	1.6488298996136508e-07	0.6136363636363636	0.6923041390522593	0.24684979887159364
10	Frankel_US	Lee_Barcelona	39	12	24	6	10	1.6488298996136508e-07	0.75	0.8016233766233766	0.24157502170261336
10	Frankel_US	Lee_Leeds	39	18	24	10	10	1.6488298996136508e-07	0.375	0.6213172448466566	0.2533641424663753
10	Frankel_US	Lee_Manchester	39	25	24	12	10	1.6488298996136508e-07	0.5705128205128205	0.5702683792815372	0.24883248977645242
10	Frankel_US	Lee_PRIMM_NL	39	55	24	33	10	1.6488298996136508e-07	0.487603305785124	0.5896831853349023	0.24910881484650624
10	Frankel_US	Lee_PRIMM_UK	39	54	24	33	10	1.6488298996136508e-07	0.6551226551226551	0.7699020515947737	0.24155116595763523
10	Frankel_US	Matson_US	39	38	24	14	10	1.6488298996136508e-07	0.6994047619047619	0.5993168447680648	0.2446069938500829
10	Frankel_US	Spencer_US	39	97	24	71	10	1.6488298996136508e-07	0.4826652221018418	0.7254848805067886	0.2508100915882765
10	Gopalakrishnan_US	Frankel_US	25	39	14	24	10	2.5004030649745586e-07	0.5611111111111111	0.6234211014688227	0.25113935521714764
10	Gopalakrishnan_US	Lee_Barcelona	25	12	14	6	10	2.5004030649745586e-07	0.05555555555555554	0.3567099567099567	0.2717949494179903
10	Gopalakrishnan_US	Lee_Leeds	25	18	14	10	10	2.5004030649745586e-07	0.4875	0.5813830532212885	0.2488507547575842
10	Gopalakrishnan_US	Lee_Manchester	25	25	14	12	10	2.5004030649745586e-07	0.5	0.484593837535014	0.24930173021108445
10	Gopalakrishnan_US	Lee_PRIMM_NL	25	55	14	33	10	2.5004030649745586e-07	0.5826446280991736	0.6833465274294435	0.24363146889634163
10	Gopalakrishnan_US	Lee_PRIMM_UK	25	54	14	33	10	2.5004030649745586e-07	0.5382395382395383	0.6327029013701215	0.24662078681137223
10	Gopalakrishnan_US	Matson_US	25	38	14	14	10	2.5004030649745586e-07	0.5833333333333334	0.4431332259303557	0.24914137682247978
10	Gopalakrishnan_US	Spencer_US	25	97	14	71	10	2.5004030649745586e-07	0.5725893824485373	0.7770529759189398	0.2472654396985241
10	Lee_Barcelona	Frankel_US	12	39	6	24	10	1.0246076956438827e-07	0.5	0.6153846153846154	0.2511701286917755
10	Lee_Barcelona	Gopalakrishnan_US	12	25	6	14	10	1.0246076956438827e-07	0.5	0.56	0.25062029373079936
10	Lee_Barcelona	Lee_Leeds	12	18	6	10	10	1.0246076956438827e-07	0.5	0.5555555555555556	0.25057617117220254
10	Lee_Barcelona	Lee_Manchester	12	25	6	12	10	1.0246076956438827e-07	0.5	0.48	0.24982608767605596
10	Lee_Barcelona	Lee_PRIMM_NL	12	55	6	33	10	1.0246076956438827e-07	0.5	0.6	0.2510173967581711
