domain_a	domain_b	auc_a_to_b	auc_b_to_a	absolute_delta_auc	feature_cap
Frankel_US	Gopalakrishnan_US	0.6136363636363636	0.5611111111111111	0.05252525252525253	10
Frankel_US	Lee_Barcelona	0.75	0.5	0.25	10
Frankel_US	Lee_Leeds	0.375	0.5	0.125	10
Frankel_US	Lee_Manchester	0.5705128205128205	0.5	0.07051282051282048	10
Frankel_US	Lee_PRIMM_NL	0.487603305785124	0.47500000000000003	0.012603305785123975	10
Frankel_US	Lee_PRIMM_UK	0.6551226551226551	0.5	0.1551226551226551	10
Frankel_US	Matson_US	0.6994047619047619	0.49166666666666664	0.20773809523809522	10
Frankel_US	Spencer_US	0.4826652221018418	0.32222222222222224	0.16044299987961957	10
Gopalakrishnan_US	Lee_Barcelona	0.05555555555555554	0.5	0.4444444444444445	10
Gopalakrishnan_US	Lee_Leeds	0.4875	0.5	0.012500000000000011	10
Gopalakrishnan_US	Lee_Manchester	0.5	0.5	0.0	10
Gopalakrishnan_US	Lee_PRIMM_NL	0.5826446280991736	0.6688311688311688	0.08618654073199516	10
Gopalakrishnan_US	Lee_PRIMM_UK	0.5382395382395383	0.5	0.038239538239538295	10
Gopalakrishnan_US	Matson_US	0.5833333333333334	0.487012987012987	0.09632034632034636	10
Gopalakrishnan_US	Spencer_US	0.5725893824485373	0.4675324675324676	0.10505691491606972	10
Lee_Barcelona	Lee_Leeds	0.5	0.5	0.0	10
Lee_Barcelona	Lee_Manchester	0.5	0.5	0.0	10
Lee_Barcelona	Lee_PRIMM_NL	0.5	0.611111111111111	0.11111111111111105	10
Lee_Barcelona	Lee_PRIMM_UK	0.5	0.5	0.0	10
Lee_Barcelona	Matson_US	0.5	0.5833333333333334	0.08333333333333337	10
Lee_Barcelona	Spencer_US	0.5	0.6944444444444444	0.19444444444444442	10
Lee_Leeds	Lee_Manchester	0.5	0.5	0.0	10
Lee_Leeds	Lee_PRIMM_NL	0.5	0.39999999999999997	0.10000000000000003	10
Lee_Leeds	Lee_PRIMM_UK	0.5	0.5	0.0	10
Lee_Leeds	Matson_US	0.5	0.5375	0.03749999999999998	10
