term	standardized_coefficient	mrqap_p_two_sided	mrqap_p_prespecified_direction	prespecified_direction	permutations	removed_domain	node_n
intercept	0.5041111226727768	1.0	nan	not_prespecified	10000	Frankel_US	8
aitchison_centroid_distance	-0.008103035341415703	0.7186281371862814	0.33786621337866213	negative	10000	Frankel_US	8
same_study_family	-0.05030017800600192	0.31756824317568244	0.8262173782621738	positive	10000	Frankel_US	8
same_country	-0.006640741511691476	0.7932206779322067	0.5878412158784122	positive	10000	Frankel_US	8
same_treatment_scope_group	0.06289325662825504	0.1837816218378162	0.11698830116988301	positive	10000	Frankel_US	8
absolute_response_rate_difference	-0.00612461861418644	0.7987201279872013	nan	not_prespecified	10000	Frankel_US	8
log_train_n	0.007750862484900381	0.6692330766923308	nan	not_prespecified	10000	Frankel_US	8
log_test_n	0.00842276440857037	0.7072292770722928	nan	not_prespecified	10000	Frankel_US	8
intercept	0.4805750368541891	1.0	nan	not_prespecified	10000	Gopalakrishnan_US	8
aitchison_centroid_distance	-0.01750957953127542	0.4968503149685031	0.24037596240375964	negative	10000	Gopalakrishnan_US	8
same_study_family	0.051517508012743185	0.1065893410658934	0.08309169083091691	positive	10000	Gopalakrishnan_US	8
same_country	-0.011069006869238777	0.6458354164583542	0.676032396760324	positive	10000	Gopalakrishnan_US	8
same_treatment_scope_group	-0.0362088805502637	0.30496950304969506	0.8436156384361564	positive	10000	Gopalakrishnan_US	8
absolute_response_rate_difference	-0.002940402071746808	0.9117088291170883	nan	not_prespecified	10000	Gopalakrishnan_US	8
log_train_n	0.009245510751018808	0.6547345265473453	nan	not_prespecified	10000	Gopalakrishnan_US	8
log_test_n	0.008221345329400703	0.7036296370362963	nan	not_prespecified	10000	Gopalakrishnan_US	8
intercept	0.4906357725511284	1.0	nan	not_prespecified	10000	Lee_Barcelona	8
aitchison_centroid_distance	0.0051445236360651014	0.8520147985201479	0.5761423857614238	negative	10000	Lee_Barcelona	8
same_study_family	0.016805302585828484	0.5621437856214379	0.28087191280871915	positive	10000	Lee_Barcelona	8
same_country	0.021293186670321422	0.3514648535146485	0.1765823417658234	positive	10000	Lee_Barcelona	8
same_treatment_scope_group	-0.0169318945044294	0.46455354464553544	0.7627237276272373	positive	10000	Lee_Barcelona	8
absolute_response_rate_difference	-0.01657191974424026	0.48765123487651235	nan	not_prespecified	10000	Lee_Barcelona	8
log_train_n	0.0097354790795748	0.5596440355964404	nan	not_prespecified	10000	Lee_Barcelona	8
log_test_n	0.019608600316036964	0.3361663833616638	nan	not_prespecified	10000	Lee_Barcelona	8
intercept	0.4861398158867636	1.0	nan	not_prespecified	10000	Lee_Leeds	8
aitchison_centroid_distance	-0.014768807128700462	0.47485251474852513	0.23267673232676733	negative	10000	Lee_Leeds	8
same_study_family	0.0030592420475655073	0.8905109489051095	0.4400559944005599	positive	10000	Lee_Leeds	8
