predictor	statistic_type	prespecified_direction	observed_statistic	qap_p_two_sided	qap_p_prespecified_direction	permutations	removed_domain	node_n
aitchison_centroid_distance	spearman_rho	negative	-0.07310652115687247	0.5864413558644136	0.2906709329067093	10000	Frankel_US	8
bray_curtis_centroid_distance	spearman_rho	negative	-0.04882886445837881	0.7034296570342966	0.34336566343365665	10000	Frankel_US	8
jensen_shannon_distance	spearman_rho	negative	-0.06257480529330058	0.6316368363163684	0.3094690530946905	10000	Frankel_US	8
prevalence_l1_distance	spearman_rho	negative	-0.09964097411184582	0.4714528547145285	0.23107689231076892	10000	Frankel_US	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.01675541317213325	0.7350264973502649	0.36206379362063795	10000	Frankel_US	8
same_country	mean_auc_relation_1_minus_0	positive	0.02191014303653993	0.6160383961603839	0.28997100289971	10000	Frankel_US	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.02785293568818148	0.3812618738126187	0.20187981201879812	10000	Frankel_US	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	0.03216309785980004	0.4046595340465953	0.20607939206079393	10000	Frankel_US	8
aitchison_centroid_distance	spearman_rho	negative	-0.20399721788403746	0.1351864813518648	0.07039296070392961	10000	Gopalakrishnan_US	8
bray_curtis_centroid_distance	spearman_rho	negative	-0.08493615307139608	0.5312468753124687	0.2552744725527447	10000	Gopalakrishnan_US	8
jensen_shannon_distance	spearman_rho	negative	-0.08090134386752139	0.5563443655634437	0.2672732726727327	10000	Gopalakrishnan_US	8
prevalence_l1_distance	spearman_rho	negative	-0.23251442869786368	0.09719028097190281	0.05449455054494551	10000	Gopalakrishnan_US	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.05336710222326957	0.24437556244375563	0.1227877212278772	10000	Gopalakrishnan_US	8
same_country	mean_auc_relation_1_minus_0	positive	0.0250997520792946	0.5815418458154185	0.2716728327167283	10000	Gopalakrishnan_US	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.05366883935016509	0.11698830116988301	0.0852914708529147	10000	Gopalakrishnan_US	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.0069567776139723425	0.9615038496150385	0.5051494850514948	10000	Gopalakrishnan_US	8
aitchison_centroid_distance	spearman_rho	negative	-0.05094888518416276	0.6981301869813019	0.36136386361363865	10000	Lee_Barcelona	8
bray_curtis_centroid_distance	spearman_rho	negative	-0.021336982788535276	0.8684131586841316	0.44765523447655237	10000	Lee_Barcelona	8
jensen_shannon_distance	spearman_rho	negative	-0.0194905131241428	0.8838116188381162	0.45435456454354567	10000	Lee_Barcelona	8
prevalence_l1_distance	spearman_rho	negative	-0.02345700351431923	0.8595140485951405	0.43925607439256076	10000	Lee_Barcelona	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.020888854546170288	0.6982301769823017	0.35666433356664334	10000	Lee_Barcelona	8
same_country	mean_auc_relation_1_minus_0	positive	0.0317895108621124	0.34256574342565743	0.17498250174982502	10000	Lee_Barcelona	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.034294869555652974	0.20127987201279873	0.08609139086091391	10000	Lee_Barcelona	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.00834919240569476	0.83001699830017	0.5700429957004299	10000	Lee_Barcelona	8
aitchison_centroid_distance	spearman_rho	negative	-0.06660740693407005	0.6452354764523548	0.3190680931906809	10000	Lee_Leeds	8
bray_curtis_centroid_distance	spearman_rho	negative	-0.032961776326716395	0.8014198580141986	0.3902609739026097	10000	Lee_Leeds	8
jensen_shannon_distance	spearman_rho	negative	-0.04198865283112835	0.7541245875412459	0.37336266373362664	10000	Lee_Leeds	8
prevalence_l1_distance	spearman_rho	negative	-0.09368803644730593	0.5438456154384561	0.27077292270772924	10000	Lee_Leeds	8
same_study_family	mean_auc_relation_1_minus_0	positive	-0.004985364745942633	0.9097090290970903	0.5558444155584441	10000	Lee_Leeds	8
same_country	mean_auc_relation_1_minus_0	positive	0.029141655391198173	0.4370562943705629	0.21727827217278273	10000	Lee_Leeds	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.02044030587364465	0.5137486251374862	0.3197680231976802	10000	Lee_Leeds	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.01544881636406098	0.7110288971102889	0.6325367463253675	10000	Lee_Leeds	8
aitchison_centroid_distance	spearman_rho	negative	-0.1535962961339417	0.2937706229377062	0.15628437156284372	10000	Lee_Manchester	8
bray_curtis_centroid_distance	spearman_rho	negative	0.011557334838217342	0.9362063793620637	0.4941505849415059	10000	Lee_Manchester	8
jensen_shannon_distance	spearman_rho	negative	-0.00020515979002752677	0.999000099990001	0.47515248475152483	10000	Lee_Manchester	8
prevalence_l1_distance	spearman_rho	negative	-0.20221916637046555	0.1608839116088391	0.08409159084091591	10000	Lee_Manchester	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.08562588045477121	0.0448955104489551	0.029097090290970903	10000	Lee_Manchester	8
same_country	mean_auc_relation_1_minus_0	positive	0.03479687759685929	0.42995700429957007	0.21037896210378962	10000	Lee_Manchester	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.06686817803675194	0.11708829117088292	0.0867913208679132	10000	Lee_Manchester	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	0.005781043869039548	0.8894110588941105	0.41645835416458354	10000	Lee_Manchester	8
aitchison_centroid_distance	spearman_rho	negative	-0.18676698716503154	0.19568043195680432	0.10668933106689331	10000	Lee_PRIMM_NL	8
bray_curtis_centroid_distance	spearman_rho	negative	-0.005812960054568906	0.9733026697330267	0.4453554644535546	10000	Lee_PRIMM_NL	8
jensen_shannon_distance	spearman_rho	negative	-0.029133188038192395	0.8463153684631537	0.39166083391660833	10000	Lee_PRIMM_NL	8
prevalence_l1_distance	spearman_rho	negative	-0.1510001858880958	0.2986701329867013	0.14978502149785022	10000	Lee_PRIMM_NL	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.05014607597434084	0.2626737326267373	0.1454854514548545	10000	Lee_PRIMM_NL	8
same_country	mean_auc_relation_1_minus_0	positive	0.04188622816155546	0.30456954304569545	0.15798420157984203	10000	Lee_PRIMM_NL	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.06040413518406479	0.1733826617338266	0.11458854114588542	10000	Lee_PRIMM_NL	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.00885339361039822	0.8097190280971903	0.5531446855314468	10000	Lee_PRIMM_NL	8
aitchison_centroid_distance	spearman_rho	negative	-0.08240584899438992	0.5468453154684532	0.25747425257474255	10000	Lee_PRIMM_UK	8
bray_curtis_centroid_distance	spearman_rho	negative	0.03323588598445933	0.804019598040196	0.5625437456254374	10000	Lee_PRIMM_UK	8
jensen_shannon_distance	spearman_rho	negative	0.02509788098003411	0.8623137686231377	0.5369463053694631	10000	Lee_PRIMM_UK	8
prevalence_l1_distance	spearman_rho	negative	-0.11365852367524983	0.38236176382361764	0.1877812218778122	10000	Lee_PRIMM_UK	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.01734189053185664	0.7010298970102989	0.3431656834316568	10000	Lee_PRIMM_UK	8
same_country	mean_auc_relation_1_minus_0	positive	0.03139909768773852	0.4714528547145285	0.22867713228677133	10000	Lee_PRIMM_UK	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.0439810033434993	0.19888011198880112	0.1171882811718828	10000	Lee_PRIMM_UK	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.019524956918398784	0.5435456454354565	0.7090290970902909	10000	Lee_PRIMM_UK	8
aitchison_centroid_distance	spearman_rho	negative	-0.053820251583887854	0.7106289371062894	0.3264673532646735	10000	Matson_US	8
bray_curtis_centroid_distance	spearman_rho	negative	0.09786121984313027	0.46865313468653136	0.7499250074992501	10000	Matson_US	8
jensen_shannon_distance	spearman_rho	negative	0.0759091223101849	0.5863413658634137	0.6818318168183182	10000	Matson_US	8
prevalence_l1_distance	spearman_rho	negative	-0.076729761470295	0.6074392560743925	0.29217078292170784	10000	Matson_US	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.03914907684433938	0.3955604439556044	0.19718028197180282	10000	Matson_US	8
same_country	mean_auc_relation_1_minus_0	positive	0.015860383812310197	0.7025297470252975	0.31616838316168383	10000	Matson_US	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.03822746597074389	0.31496850314968505	0.14878512148785122	10000	Matson_US	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.02664327429249108	0.684931506849315	0.6335366463353664	10000	Matson_US	8
aitchison_centroid_distance	spearman_rho	negative	-0.10504360757432751	0.46285371462853714	0.22977702229777022	10000	Spencer_US	8
bray_curtis_centroid_distance	spearman_rho	negative	0.057924437249645445	0.675032496750325	0.6385361463853615	10000	Spencer_US	8
jensen_shannon_distance	spearman_rho	negative	0.033304841724412435	0.8171182881711829	0.5703429657034297	10000	Spencer_US	8
prevalence_l1_distance	spearman_rho	negative	-0.1328090403055625	0.39986001399860016	0.2091790820917908	10000	Spencer_US	8
same_study_family	mean_auc_relation_1_minus_0	positive	0.044806253650950645	0.30956904309569044	0.18718128187181282	10000	Spencer_US	8
same_country	mean_auc_relation_1_minus_0	positive	0.04649401428843564	0.3177682231776822	0.15948405159484053	10000	Spencer_US	8
same_macro_region	mean_auc_relation_1_minus_0	positive	0.06261948392193156	0.11018898110188981	0.09319068093190681	10000	Spencer_US	8
same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.0008570869366323897	1.0	0.5391460853914608	10000	Spencer_US	8
