domain_a	domain_b	observed_auc_a_to_b	observed_auc_b_to_a	observed_signed_delta_a_to_b_minus_b_to_a	observed_absolute_delta	bootstrap_mean_signed_delta	bootstrap_median_signed_delta	percentile_2_5	percentile_97_5	bootstrap_probability_delta_positive	bootstrap_probability_delta_negative	direction_stability_probability	percentile_interval_excludes_zero	bootstrap_repetitions
Frankel_US	Gopalakrishnan_US	0.6298701298701298	0.46944444444444444	0.16042568542568536	0.16042568542568536	0.1585001443001443	0.16141774891774896	-0.14656926406926404	0.4700342712842713	0.844	0.156	0.844	False	1000
Frankel_US	Lee_Barcelona	0.3055555555555556	0.3416666666666667	-0.036111111111111094	0.036111111111111094	-0.039688888888888885	-0.03888888888888889	-0.39729166666666665	0.3390277777777777	0.414	0.582	0.582	False	1000
Frankel_US	Lee_Leeds	0.16249999999999998	0.38055555555555554	-0.21805555555555556	0.21805555555555556	-0.21767083333333334	-0.22083333333333333	-0.47229166666666667	0.06114583333333331	0.059	0.941	0.941	False	1000
Frankel_US	Lee_Manchester	0.4935897435897436	0.4388888888888889	0.05470085470085473	0.05470085470085473	0.05575448717948718	0.05790598290598292	-0.24533653846153844	0.3391185897435897	0.672	0.327	0.672	False	1000
Frankel_US	Lee_PRIMM_NL	0.534435261707989	0.46388888888888885	0.0705463728191002	0.0705463728191002	0.07265394857667584	0.07089072543618	-0.19544995408631777	0.3057489669421485	0.711	0.289	0.711	False	1000
Frankel_US	Lee_PRIMM_UK	0.48773448773448774	0.41388888888888886	0.07384559884559888	0.07384559884559888	0.07278257575757575	0.07292568542568548	-0.19718975468975466	0.33076749639249636	0.711	0.289	0.711	False	1000
Frankel_US	Matson_US	0.3630952380952381	0.5277777777777778	-0.1646825396825397	0.1646825396825397	-0.16400694444444447	-0.1661706349206349	-0.4252132936507937	0.1049950396825396	0.119	0.881	0.881	False	1000
Frankel_US	Spencer_US	0.5319609967497291	0.44166666666666665	0.09029433008306242	0.09029433008306242	0.09516836703984592	0.09228211147225235	-0.1486958288190682	0.3188793336944745	0.789	0.211	0.789	False	1000
Gopalakrishnan_US	Lee_Barcelona	0.33333333333333337	0.4935064935064935	-0.16017316017316013	0.16017316017316013	-0.15784379509379512	-0.16504329004329005	-0.5218073593073593	0.2724296536796536	0.208	0.789	0.789	False	1000
Gopalakrishnan_US	Lee_Leeds	0.35	0.4805194805194805	-0.13051948051948054	0.13051948051948054	-0.1294948051948052	-0.13725649350649352	-0.4605032467532467	0.21791801948051936	0.229	0.771	0.771	False	1000
Gopalakrishnan_US	Lee_Manchester	0.5448717948717949	0.512987012987013	0.03188478188478194	0.03188478188478194	0.028048451548451557	0.02872127872127872	-0.3087808025308025	0.36648351648351646	0.566	0.434	0.566	False	1000
Gopalakrishnan_US	Lee_PRIMM_NL	0.709366391184573	0.44805194805194803	0.261314443132625	0.261314443132625	0.26237131050767415	0.2649547422274695	-0.022869933097205843	0.5260428964974418	0.968	0.032	0.968	False	1000
Gopalakrishnan_US	Lee_PRIMM_UK	0.598845598845599	0.6168831168831168	-0.018037518037517852	0.018037518037517852	-0.018141414141414142	-0.019119769119769148	-0.3088383838383839	0.2691738816738817	0.452	0.547	0.547	False	1000
