metric	observed	bootstrap_mean	bootstrap_median	bootstrap_sd	percentile_2_5	percentile_97_5	bootstrap_repetitions	uncertainty_scope
mean_directed_auc	0.48912141751050203	0.48922894121259464	0.4888526561205152	0.012493869460431973	0.46556063612893456	0.5138960750231356	1000	Target-patient sampling uncertainty with frozen source models
median_directed_auc	0.48763755806009323	0.4900645643613394	0.4904032205168569	0.0158193911557699	0.45815122377622375	0.5218396553563808	1000	Target-patient sampling uncertainty with frozen source models
mean_abs_asymmetry	0.13379898316144578	0.17895061135089677	0.17793164070639528	0.02107020870756592	0.13944792360442032	0.22348151136783495	1000	Target-patient sampling uncertainty with frozen source models
median_abs_asymmetry	0.11660526129156085	0.15230902789058998	0.15162410634961854	0.026406195347431594	0.10532372292755617	0.20643422258759167	1000	Target-patient sampling uncertainty with frozen source models
pairs_ge_0_10	20	23.688	24.0	2.7503127495287187	18.0	29.0	1000	Target-patient sampling uncertainty with frozen source models
pairs_ge_0_20	8	13.442	13.0	2.6690372346147138	8.0	18.0	1000	Target-patient sampling uncertainty with frozen source models
max_abs_asymmetry	0.3922619047619048	0.5246043846376273	0.5157132968752687	0.08756926743431463	0.3803081388308661	0.7143238705738706	1000	Target-patient sampling uncertainty with frozen source models
aitchison_spearman_rho	-0.10766039291384091	-0.09774302573924044	-0.09572710367069004	0.07930365352276898	-0.24742742979810867	0.051106136044865864	1000	Target-patient sampling uncertainty with frozen source models
same_family_mean_auc_difference	0.03566913535592753	0.034065731319702454	0.03416970223080479	0.03087524145238504	-0.028147792875317965	0.09186813398805835	1000	Target-patient sampling uncertainty with frozen source models
mrqap_r_squared	0.0660701580469476	0.08006742760429851	0.07402270916657416	0.0374108248329559	0.0241414922716779	0.16313235990929598	1000	Target-patient sampling uncertainty with frozen source models
