scenario	model	train_domain	test_domain	train_n	test_n	train_responders	train_non_responders	test_responders	test_non_responders	selected_features	pseudocount	locked_params	roc_auc	roc_auc_ci_low	roc_auc_ci_high	roc_auc_bootstrap_valid	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss	train_study_family	test_study_family	same_study_family	train_country	test_country	same_country	train_macro_region	test_macro_region	same_macro_region	train_treatment_scope_group	test_treatment_scope_group	same_treatment_scope_group	known_combination_ici_fraction_difference	absolute_response_rate_difference	log_train_n	log_test_n	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance	train_endpoint_class	test_endpoint_class	same_endpoint_class	endpoint_direction
PRIMARY	elastic_net	Frankel_US	Gopalakrishnan_US	39	25	24	15	14	11	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.6298701298701298	0.4025974025974025	0.8605519480519479	500	0.6981695891085733	0.2399829092374551	0.6396103896103896	0.6428571428571429	0.6363636363636364	0.6728500593467867	Frankel_2017	Gopalakrishnan_2018	0	United_States	United_States	1	North_America	North_America	1	mixed_ICI_including_combination	anti_PD1_only	0		0.0553846153846153	3.6635616461296463	3.218875824868201	1.4601102198390727	0.5138555257100887	0.457773044074274	0.0727642304785162	RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	0	RECIST_ORR_PROGRESSION -> DCB6
PRIMARY	elastic_net	Frankel_US	Lee_Barcelona	39	12	24	15	6	6	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3055555555555556	0.0	0.6111111111111113	500	0.4343915343915344	0.3179758695358436	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.8371341271904168	Frankel_2017	Lee_2022_family	0	United_States	Spain	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.1153846153846154	3.6635616461296463	2.4849066497880004	2.148005799674066	0.5625705120362823	0.5030899391825384	0.0805657305657305	RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	0	RECIST_ORR_PROGRESSION -> DCB6
PRIMARY	elastic_net	Frankel_US	Lee_Leeds	39	18	24	15	10	8	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.1624999999999999	0.025	0.4065624999999997	500	0.4157586367880485	0.3560905501335143	0.275	0.3	0.25	0.9290024391079044	Frankel_2017	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0598290598290598	3.6635616461296463	2.8903717578961645	2.0000659164923533	0.4333067456295895	0.3982417665837381	0.0697385506909316	RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	0	RECIST_ORR_PROGRESSION -> DCB6
PRIMARY	elastic_net	Frankel_US	Lee_Manchester	39	25	24	15	12	13	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4935897435897436	0.2594551282051282	0.7341346153846152	500	0.5101589711458132	0.297328153680564	0.5064102564102564	0.1666666666666666	0.8461538461538461	0.8276178084309415	Frankel_2017	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.1353846153846154	3.6635616461296463	3.218875824868201	2.0576633286376182	0.5284366611922444	0.4800730908319456	0.0708771440200011	RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	0	RECIST_ORR_PROGRESSION -> DCB6
PRIMARY	elastic_net	Frankel_US	Lee_PRIMM_NL	39	55	24	15	33	22	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.534435261707989	0.377995867768595	0.7011019283746557	500	0.6038464792259542	0.3059588625330556	0.4848484848484848	0.2424242424242424	0.7272727272727273	0.8175477598956022	Frankel_2017	Lee_2022_family	0	United_States	Netherlands	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0153846153846154	3.6635616461296463	4.007333185232471	2.153728300320348	0.5362672870971259	0.4941896579296531	0.0724010381153238	RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	0	RECIST_ORR_PROGRESSION -> DCB6
PRIMARY	elastic_net	Frankel_US	Lee_PRIMM_UK	39	54	24	15	33	21	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4877344877344877	0.3362193362193362	0.6804112554112555	500	0.5890538676438212	0.3203289783304243	0.4632034632034632	0.2121212121212121	0.7142857142857143	0.8510495184708013	Frankel_2017	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0042735042735042	3.6635616461296463	3.9889840465642745	1.822480321344653	0.5029369678988839	0.4452986387792061	0.0617613427137236	RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	0	RECIST_ORR_PROGRESSION -> DCB6
PRIMARY	elastic_net	Frankel_US	Matson_US	39	38	24	15	14	24	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3630952380952381	0.1666666666666666	0.5819196428571428	500	0.3660148049210334	0.3144850047875729	0.4017857142857143	0.4285714285714285	0.375	0.8412853570249705	Frankel_2017	Matson_2018	0	United_States	United_States	1	North_America	North_America	1	mixed_ICI_including_combination	anti_PD1_only	0		0.2469635627530365	3.6635616461296463	3.6375861597263857	1.0679491869084694	0.4539916266983753	0.3894587778463126	0.0469433657403582	RECIST_ORR_PROGRESSION	RECIST_ORR_PROGRESSION	1	RECIST_ORR_PROGRESSION -> RECIST_ORR_PROGRESSION
PRIMARY	elastic_net	Frankel_US	Spencer_US	39	97	24	15	71	26	500	1.648829899613651e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5319609967497291	0.4270178764897074	0.6514219934994583	500	0.7591550466145952	0.2668599070741513	0.5419826652221018	0.5070422535211268	0.5769230769230769	0.7320734307812405	Frankel_2017	Spencer_2021	0	United_States	United_States	1	North_America	North_America	1	mixed_ICI_including_combination	anti_PD1_based_unspecified_mix	0		0.1165741475019824	3.6635616461296463	4.574710978503383	1.37106100772541	0.4428438885729916	0.3915311991633044	0.0590633715817809	RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	0	RECIST_ORR_PROGRESSION -> DCB6
PRIMARY	elastic_net	Gopalakrishnan_US	Frankel_US	25	39	14	11	24	15	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4694444444444444	0.275	0.6460416666666665	500	0.5856272773896165	0.2827916070008066	0.425	0.25	0.6	0.7622372168149825	Gopalakrishnan_2018	Frankel_2017	0	United_States	United_States	1	North_America	North_America	1	anti_PD1_only	mixed_ICI_including_combination	0		0.0553846153846153	3.218875824868201	3.6635616461296463	1.4601102198390727	0.5138555257100887	0.457773044074274	0.0727642304785162	DCB6_COMPATIBLE	RECIST_ORR_PROGRESSION	0	DCB6 -> RECIST_ORR_PROGRESSION
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Barcelona	25	12	14	11	6	6	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3333333333333333	0.0833333333333333	0.6944444444444445	500	0.4646464646464646	0.289279192788251	0.5	0.3333333333333333	0.6666666666666666	0.7763190600294932	Gopalakrishnan_2018	Lee_2022_family	0	United_States	Spain	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0		0.06	3.218875824868201	2.4849066497880004	1.7464261293987988	0.4386402989935155	0.4368346369614659	0.0772532123960695	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
