scenario	model	feature	folds_selected	unique_outer_folds	nonzero_fold_fraction	mean_importance	mean_absolute_importance	median_importance	sign_consistency
PRIMARY	elastic_net	s__Flavonifractor_sp_An100	1	1	1.0	0.8496086719788828	0.8496086719788828	0.8496086719788828	1.0
PRIMARY	elastic_net	s__Streptococcus_SGB14888	9	9	1.0	-0.4027747162821754	0.4027747162821754	-0.2830401434921336	1.0
PRIMARY	elastic_net	s__Veillonella_parvula	9	9	1.0	-0.37587133264101097	0.37587133264101097	-0.22824147603455916	1.0
PRIMARY	elastic_net	s__Faecalicatena_contorta	9	9	0.8888888888888888	0.3478437293927079	0.3478437293927079	0.18554425591262116	0.8888888888888888
PRIMARY	elastic_net	s__Lachnoclostridium_sp_An131	9	9	0.8888888888888888	-0.32037687499921685	0.32037687499921685	-0.15613076007545357	0.8888888888888888
PRIMARY	elastic_net	s__GGB9694_SGB15204	9	9	0.5555555555555556	0.2853464389296485	0.2853464389296485	0.075997466394846	0.5555555555555556
PRIMARY	elastic_net	s__Blautia_massiliensis	9	9	0.6666666666666666	0.2811457735908127	0.2811457735908127	0.04911985347581743	0.6666666666666666
PRIMARY	elastic_net	s__GGB79998_SGB48024	1	1	1.0	0.2785783001799579	0.2785783001799579	0.2785783001799579	1.0
PRIMARY	elastic_net	s__Anaerotruncus_colihominis	9	9	0.6666666666666666	-0.2582450131608504	0.2582450131608504	-0.19471003881204224	0.6666666666666666
PRIMARY	elastic_net	s__GGB3818_SGB5183	1	1	1.0	-0.22280098043221416	0.22280098043221416	-0.22280098043221416	1.0
PRIMARY	elastic_net	s__GGB3444_SGB4594	9	9	1.0	-0.2095166655765529	0.2095166655765529	-0.07274039341365872	1.0
PRIMARY	elastic_net	s__GGB9616_SGB15051	9	9	1.0	-0.20191237530669748	0.20191237530669748	-0.0977862658269111	1.0
PRIMARY	elastic_net	s__GGB9237_SGB14179	9	9	0.8888888888888888	-0.20095547066553043	0.20095547066553043	-0.08470236028785806	0.8888888888888888
PRIMARY	elastic_net	s__Blautia_caecimuris	9	9	0.5555555555555556	0.19742083969335622	0.19742083969335622	0.03646148646213066	0.5555555555555556
PRIMARY	elastic_net	s__Eubacterium_sp_AF16_48	9	9	1.0	-0.19398947992208063	0.19398947992208063	-0.13181464256067277	1.0
PRIMARY	elastic_net	s__GGB9642_SGB15119	9	9	1.0	-0.18741968227035347	0.18741968227035347	-0.16516033634070643	1.0
PRIMARY	elastic_net	s__Faecalibacillus_intestinalis	9	9	0.8888888888888888	0.18374223056393524	0.18374223056393524	0.10443340698946894	0.8888888888888888
PRIMARY	elastic_net	s__Alistipes_putredinis	9	9	0.5555555555555556	-0.174755336536696	0.174755336536696	-0.032112004401804076	0.5555555555555556
PRIMARY	elastic_net	s__Pseudoflavonifractor_gallinarum	9	9	0.6666666666666666	-0.15952097840235968	0.15952097840235968	-0.03380222174167755	0.6666666666666666
PRIMARY	elastic_net	s__GGB3321_SGB4394	9	9	0.7777777777777778	-0.15930658155277147	0.15930658155277147	-0.044917864270174794	0.7777777777777778
PRIMARY	elastic_net	s__Roseburia_hominis	9	9	0.7777777777777778	0.15541147603540925	0.15541147603540925	0.044197846981507465	0.7777777777777778
PRIMARY	elastic_net	s__Alistipes_sp_AF17_16	9	9	0.4444444444444444	0.15241847595181696	0.15241847595181696	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB9627_SGB15081	9	9	0.5555555555555556	0.15140378926597886	0.15140378926597886	0.041174545686933	0.5555555555555556
PRIMARY	elastic_net	s__Bacteroides_uniformis	9	9	0.4444444444444444	-0.15096959322408743	0.15096959322408743	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB34797_SGB14322	9	9	0.4444444444444444	-0.14832087749458628	0.14832087749458628	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Bifidobacterium_bifidum	9	9	0.5555555555555556	0.14788879865469887	0.14788879865469887	0.06190307518687326	0.5555555555555556
PRIMARY	elastic_net	s__Parabacteroides_merdae	9	9	1.0	0.1476206053296249	0.1476206053296249	0.12810631556556648	1.0
PRIMARY	elastic_net	s__GGB3277_SGB4327	9	9	0.8888888888888888	-0.14327926714279707	0.14327926714279707	-0.14339241616658097	0.8888888888888888
PRIMARY	elastic_net	s__Parasutterella_excrementihominis	9	9	0.5555555555555556	-0.13946385550394771	0.13946385550394771	-0.008675378287674602	0.5555555555555556
PRIMARY	elastic_net	s__Agathobaculum_butyriciproducens	9	9	0.4444444444444444	0.13945624524691771	0.13945624524691771	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Clostridium_sp_1001270H_150608_G6	9	9	0.7777777777777778	0.13839302487782343	0.13839302487782343	0.15192178229281003	0.7777777777777778
PRIMARY	elastic_net	s__GGB32900_SGB53446	9	9	0.5555555555555556	0.1355845722454787	0.1355845722454787	0.001714900621694686	0.5555555555555556
PRIMARY	elastic_net	s__Lactonifactor_sp_BIOML_A6	9	9	0.7777777777777778	-0.13121820046921243	0.13121820046921243	-0.046915514005676145	0.7777777777777778
PRIMARY	elastic_net	s__Anaerosacchariphilus_sp_NSJ_68	8	8	0.75	-0.12911063178925283	0.12911063178925283	-0.10100107961058011	0.75
PRIMARY	elastic_net	s__Lacrimispora_celerecrescens	9	9	0.6666666666666666	0.12890672232452235	0.12890672232452235	0.12479587886541096	0.6666666666666666
PRIMARY	elastic_net	s__Bacteroides_stercoris	9	9	0.5555555555555556	0.12741410040870715	0.12741410040870715	0.0007877321994878905	0.5555555555555556
PRIMARY	elastic_net	s__Eisenbergiella_massiliensis	9	9	0.5555555555555556	0.12364505881642282	0.12364505881642282	0.07940946104615873	0.5555555555555556
PRIMARY	elastic_net	s__Tyzzerella_nexilis	9	9	0.5555555555555556	0.12223102519422757	0.12223102519422757	0.02920779539168419	0.5555555555555556
PRIMARY	elastic_net	s__Paraprevotella_clara	9	9	0.5555555555555556	-0.11850361754826529	0.11850361754826529	-0.07221504032887224	0.5555555555555556
PRIMARY	elastic_net	s__Bifidobacterium_catenulatum	8	8	0.875	0.11842397136913299	0.11842397136913299	0.06104185397911312	0.875
PRIMARY	elastic_net	s__Vescimonas_SGB15087	9	9	0.4444444444444444	-0.11762203875483251	0.11762203875483251	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB9619_SGB15066	9	9	0.4444444444444444	-0.11757095531530526	0.11757095531530526	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB58158_SGB79798	9	9	0.4444444444444444	0.1169866953862085	0.1169866953862085	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Streptococcus_SGB14137	1	1	1.0	0.1162939834357019	0.1162939834357019	0.1162939834357019	1.0
PRIMARY	elastic_net	s__Alistipes_onderdonkii	9	9	0.6666666666666666	-0.11459393117019318	0.11459393117019318	-0.012880762260350622	0.6666666666666666
PRIMARY	elastic_net	s__Vescimonas_coprocola	9	9	1.0	-0.11224126255950642	0.11224126255950642	-0.09625095606675235	1.0
PRIMARY	elastic_net	s__Blautia_faecicola	3	3	0.3333333333333333	0.11162838639717589	0.11162838639717589	0.0	0.3333333333333333
PRIMARY	elastic_net	s__Roseburia_faecis	9	9	0.7777777777777778	0.1110331165814979	0.1110331165814979	0.013364138336594078	0.7777777777777778
PRIMARY	elastic_net	s__GGB74463_SGB54347	9	9	0.5555555555555556	-0.11036882072091266	0.11036882072091266	-0.004763491900162943	0.5555555555555556
PRIMARY	elastic_net	s__Anaerostipes_hadrus	9	9	0.4444444444444444	-0.10970452392367136	0.10970452392367136	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB45491_SGB63163	9	9	0.5555555555555556	-0.10523561490633175	0.10523561490633175	-0.02580432030861877	0.5555555555555556
PRIMARY	elastic_net	s__Massilimicrobiota_timonensis	9	9	0.6666666666666666	-0.10516476251586698	0.10516476251586698	-0.0866818578992953	0.6666666666666666
PRIMARY	elastic_net	s__Phascolarctobacterium_faecium	9	9	0.5555555555555556	0.10190925425172087	0.10190925425172087	0.010468311536531572	0.5555555555555556
PRIMARY	elastic_net	s__Neglectibacter_timonensis	9	9	0.4444444444444444	-0.10172568105790078	0.10172568105790078	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Sutterella_wadsworthensis	9	9	0.7777777777777778	-0.10066196015570404	0.10066196015570404	-0.08425456677486641	0.7777777777777778
PRIMARY	elastic_net	s__Anaerotruncus_rubiinfantis	9	9	0.4444444444444444	-0.09655646504866446	0.09655646504866446	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Methylobacterium_SGB15164	9	9	0.4444444444444444	0.09529030365642775	0.09529030365642775	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB52130_SGB14966	9	9	0.5555555555555556	0.0952023963130539	0.0952023963130539	0.0029108311545894086	0.5555555555555556
PRIMARY	elastic_net	s__GGB9760_SGB15373	9	9	0.4444444444444444	-0.09478739544381741	0.09478739544381741	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB9611_SGB15045	8	8	0.375	-0.09417164784840346	0.09417164784840346	0.0	0.375
PRIMARY	elastic_net	s__GGB14025_SGB14906	9	9	0.5555555555555556	0.0928522708300822	0.0928522708300822	0.0758390534865096	0.5555555555555556
PRIMARY	elastic_net	s__GGB9581_SGB79823	3	3	0.3333333333333333	-0.09242581986924557	0.09242581986924557	0.0	0.3333333333333333
PRIMARY	elastic_net	s__Roseburia_intestinalis	9	9	0.4444444444444444	-0.09199566870544905	0.09199566870544905	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Streptococcus_vestibularis	9	9	0.4444444444444444	-0.08947505014599395	0.08947505014599395	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Collinsella_SGB14987	9	9	0.4444444444444444	0.08944578405869434	0.08944578405869434	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB3175_SGB4191	9	9	0.4444444444444444	-0.08937205984664619	0.08937205984664619	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Faecalibacillus_faecis	9	9	0.4444444444444444	0.08837214047757971	0.08837214047757971	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Butyricimonas_faecihominis	9	9	0.4444444444444444	0.08796731392285759	0.08796731392285759	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Bacteroides_finegoldii	9	9	0.4444444444444444	0.08466646447158771	0.08466646447158771	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Clostridium_scindens	9	9	0.3333333333333333	0.08461944185544915	0.08461944185544915	0.0	0.3333333333333333
PRIMARY	elastic_net	s__Lactococcus_lactis	9	9	0.4444444444444444	0.08427686244971228	0.08427686244971228	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB9345_SGB14311	9	9	0.5555555555555556	0.08219764580729548	0.08219764580729548	0.006119090155500127	0.5555555555555556
PRIMARY	elastic_net	s__GGB3612_SGB4882	9	9	0.5555555555555556	-0.08095007292973601	0.08095007292973601	-0.03463838231193925	0.5555555555555556
PRIMARY	elastic_net	s__Clostridium_SGB6179	9	9	0.6666666666666666	0.0809413976982606	0.0809413976982606	0.03663597295217705	0.6666666666666666
PRIMARY	elastic_net	s__Faecalibacterium_prausnitzii	9	9	0.4444444444444444	0.0790064477589754	0.0790064477589754	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Bacteroides_SGB15210	1	1	1.0	-0.07845089883206997	0.07845089883206997	-0.07845089883206997	1.0
PRIMARY	elastic_net	s__Longibaculum_muris	7	7	0.5714285714285714	0.07696970922600846	0.07696970922600846	0.01250614188526892	0.5714285714285714
PRIMARY	elastic_net	s__Rheinheimera_SGB14999	9	9	0.2222222222222222	-0.07670224284619431	0.07670224284619431	0.0	0.2222222222222222
PRIMARY	elastic_net	s__Intestinibacter_bartlettii	9	9	0.4444444444444444	0.07307205859878758	0.07307205859878758	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Bacteroides_xylanisolvens	9	9	0.4444444444444444	0.07112518434252012	0.07112518434252012	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB3614_SGB4886	9	9	0.4444444444444444	0.0706612296610914	0.0706612296610914	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Blautia_sp_Marseille_P3087	9	9	0.4444444444444444	0.07036476755807308	0.07036476755807308	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Faecalibacterium_SGB15346	9	9	0.5555555555555556	0.07036339371246648	0.07036339371246648	0.010928752668571004	0.5555555555555556
PRIMARY	elastic_net	s__GGB80011_SGB15265	9	9	0.3333333333333333	0.06976524652115781	0.06976524652115781	0.0	0.3333333333333333
PRIMARY	elastic_net	s__Coprobacillus_cateniformis	9	9	0.4444444444444444	-0.06914142936819968	0.06914142936819968	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB9495_SGB14892	9	9	0.4444444444444444	-0.06810349706309356	0.06810349706309356	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Parabacteroides_johnsonii	6	6	0.5	-0.06799150570588064	0.06799150570588064	-0.017321623051837674	0.5
PRIMARY	elastic_net	s__Actinomyces_SGB17157	8	8	0.375	-0.06736411514687687	0.06736411514687687	0.0	0.375
PRIMARY	elastic_net	s__Harryflintia_acetispora	9	9	0.3333333333333333	0.06618675121873036	0.06618675121873036	0.0	0.3333333333333333
PRIMARY	elastic_net	s__GGB3278_SGB4328	9	9	0.4444444444444444	-0.06516102243902538	0.06516102243902538	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Senegalimassilia_SGB14826	1	1	1.0	-0.06507748601965577	0.06507748601965577	-0.06507748601965577	1.0
PRIMARY	elastic_net	s__Streptococcus_thermophilus	9	9	0.5555555555555556	0.06452853304924697	0.06452853304924697	0.0031500885874828403	0.5555555555555556
PRIMARY	elastic_net	s__Longicatena_caecimuris	9	9	0.5555555555555556	0.0640875848444742	0.0640875848444742	0.00938070327938942	0.5555555555555556
PRIMARY	elastic_net	s__Ruthenibacterium_lactatiformans	9	9	0.4444444444444444	0.06287195845990894	0.06287195845990894	0.0	0.4444444444444444
PRIMARY	elastic_net	s__GGB9480_SGB14874	9	9	0.3333333333333333	-0.06153270868279575	0.06153270868279575	0.0	0.3333333333333333
PRIMARY	elastic_net	s__Waltera_intestinalis	9	9	0.3333333333333333	0.061433225840018285	0.061433225840018285	0.0	0.3333333333333333
PRIMARY	elastic_net	s__Dorea_formicigenerans	9	9	0.4444444444444444	0.06002242959913087	0.06002242959913087	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Actinomyces_sp_ICM47	9	9	0.5555555555555556	0.059971405936133704	0.059971405936133704	0.001512744356996323	0.5555555555555556
PRIMARY	elastic_net	s__GGB2998_SGB3989	9	9	0.4444444444444444	0.058381310957868755	0.058381310957868755	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Streptococcus_mutans	9	9	0.4444444444444444	-0.058285222004174644	0.058285222004174644	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Anaerotruncus_massiliensis	9	9	0.2222222222222222	0.057431073251191025	0.057431073251191025	0.0	0.2222222222222222
PRIMARY	elastic_net	s__GGB9707_SGB15229	9	9	0.4444444444444444	-0.0568615835068011	0.0568615835068011	0.0	0.4444444444444444
PRIMARY	elastic_net	s__Adlercreutzia_equolifaciens	9	9	0.2222222222222222	-0.056378665572654585	0.056378665572654585	0.0	0.2222222222222222
PRIMARY	elastic_net	s__GGB3256_SGB4303	9	9	0.4444444444444444	-0.05637010558625641	0.05637010558625641	0.0	0.4444444444444444
