model	scenario	n	roc_auc	primary_roc_auc	delta_roc_auc_vs_primary	pr_auc	primary_pr_auc	delta_pr_auc_vs_primary	brier	primary_brier	delta_brier_vs_primary
elastic_net	PRIMARY	363	0.5283126065273658	0.5283126065273658	0.0	0.6488346153832057	0.6488346153832057	0.0	0.30189734456135325	0.30189734456135325	0.0
ridge	PRIMARY	363	0.4463417713528186	0.4463417713528186	0.0	0.5590123966625651	0.5590123966625651	0.0	0.4097544185900247	0.4097544185900247	0.0
random_forest	PRIMARY	363	0.4476043179092229	0.4476043179092229	0.0	0.5671114504474883	0.5671114504474883	0.0	0.26387104133948924	0.26387104133948924	0.0
elastic_net	S1_EXCLUDE_BCN12	362	0.5275875190258752	0.5283126065273658	-0.0007250875014905844	0.6483760301096018	0.6488346153832057	-0.00045858527360398416	0.30302007758308774	0.30189734456135325	0.00112273302173449
ridge	S1_EXCLUDE_BCN12	362	0.44507864028411975	0.4463417713528186	-0.0012631310686988528	0.5594382864719099	0.5590123966625651	0.0004258898093447705	0.40956948119942677	0.4097544185900247	-0.000184937390597939
random_forest	S1_EXCLUDE_BCN12	362	0.4412100456621004	0.4476043179092229	-0.006394272247122468	0.5543358891559661	0.5671114504474883	-0.012775561291522242	0.26451413974764026	0.26387104133948924	0.0006430984081510216
elastic_net	S2_BCN12_AS_NR	363	0.5108339632149156	0.5283126065273658	-0.017478643312450193	0.6439017759529807	0.6488346153832057	-0.0049328394302250445	0.2970049891784951	0.30189734456135325	-0.004892355382858149
ridge	S2_BCN12_AS_NR	363	0.4441924918115394	0.4463417713528186	-0.002149279541279192	0.5594891968553957	0.5590123966625651	0.0004768001928305843	0.41006994239221756	0.4097544185900247	0.0003155238021928519
random_forest	S2_BCN12_AS_NR	363	0.45997102544721596	0.4476043179092229	0.012366707537993071	0.5760233150875051	0.5671114504474883	0.008911864640016809	0.2607164279054486	0.26387104133948924	-0.003154613434040665
elastic_net	S3_EXCLUDE_LEE_SITES	326	0.4927392869861117	0.5283126065273658	-0.03557331954125409	0.6088970093895737	0.6488346153832057	-0.03993760599363205	0.3201782245474338	0.30189734456135325	0.018280879986080523
ridge	S3_EXCLUDE_LEE_SITES	326	0.4661100779487991	0.4463417713528186	0.0197683065959805	0.5837088518003251	0.5590123966625651	0.024696455137759976	0.3653247083836038	0.4097544185900247	-0.04442971020642089
random_forest	S3_EXCLUDE_LEE_SITES	326	0.4649626083171764	0.4476043179092229	0.017358290407953503	0.6030223862005124	0.5671114504474883	0.035910935753024065	0.26034171287032554	0.26387104133948924	-0.003529328469163706
