scenario	model	held_out_domain	fold_index	train_n	test_n	test_responders	test_non_responders	selected_features	pseudocount	best_params	inner_group_cv_auc	roc_auc	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss
PRIMARY	elastic_net	Frankel_US	1	324	39	24	15	474	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5794387390887019	0.4833333333333333	0.6501877083798746	0.26986758498327346	0.5166666666666666	0.5	0.5333333333333333	0.7350239842291716
PRIMARY	elastic_net	Gopalakrishnan_US	2	338	25	14	11	497	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5682400724445563	0.5584415584415585	0.6002344693244737	0.24630769333212185	0.512987012987013	0.5714285714285714	0.45454545454545453	0.6857940787774257
PRIMARY	elastic_net	Lee_Barcelona	3	351	12	6	6	479	5.636676092694479e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5756527271701389	0.4444444444444444	0.6471861471861472	0.34198951866742816	0.5	0.6666666666666666	0.3333333333333333	0.9096883383552004
PRIMARY	elastic_net	Lee_Leeds	4	345	18	10	8	483	5.636676092694479e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5712307509662038	0.5375	0.5764538239538239	0.3038180329714503	0.6	0.7	0.5	1.01331016807263
PRIMARY	elastic_net	Lee_Manchester	5	338	25	12	13	483	1.0246076956443401e-07	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5693303969299528	0.4551282051282051	0.5240453443378635	0.2602615542660447	0.44551282051282054	0.5833333333333334	0.3076923076923077	0.7138968003632006
PRIMARY	elastic_net	Lee_PRIMM_NL	6	308	55	33	22	483	5.636676092694479e-08	"{""C"": 1.0, ""l1_ratio"": 0.75}"	0.48946367830092213	0.5192837465564738	0.6438882274135366	0.3632342565234758	0.5681818181818181	0.6363636363636364	0.5	1.5217712825535659
PRIMARY	elastic_net	Lee_PRIMM_UK	7	309	54	33	21	469	5.636676092694479e-08	"{""C"": 1.0, ""l1_ratio"": 0.75}"	0.48525445978447346	0.6854256854256855	0.8246203816561548	0.33777850465038395	0.5670995670995671	0.5151515151515151	0.6190476190476191	1.4083122825209673
PRIMARY	elastic_net	Matson_US	8	325	38	14	24	489	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5728243927198414	0.44345238095238093	0.48002962365933355	0.267125206976524	0.4375	0.5	0.375	0.7278424729713385
PRIMARY	elastic_net	Spencer_US	9	266	97	71	26	500	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.25}"	0.5328197717299984	0.5530877573131094	0.779474138610849	0.29338545390674586	0.5888407367280607	0.4084507042253521	0.7692307692307693	0.7994596526341263
PRIMARY	ridge	Frankel_US	1	324	39	24	15	474	5.636676092694479e-08	"{""C"": 10.0}"	0.4910945176316785	0.4083333333333334	0.5729607601277918	0.5512920764186466	0.3125	0.2916666666666667	0.3333333333333333	3.246614315980897
PRIMARY	ridge	Gopalakrishnan_US	2	338	25	14	11	497	5.636676092694479e-08	"{""C"": 0.02}"	0.4884388465808098	0.36363636363636365	0.4832726243111221	0.3141859246327925	0.41233766233766234	0.6428571428571429	0.18181818181818182	0.8593518194198418
PRIMARY	ridge	Lee_Barcelona	3	351	12	6	6	479	5.636676092694479e-08	"{""C"": 0.1}"	0.5138210575062208	0.4166666666666667	0.5942760942760943	0.4107078811553348	0.5	0.5	0.5	1.3251666859008202
PRIMARY	ridge	Lee_Leeds	4	345	18	10	8	483	5.636676092694479e-08	"{""C"": 10.0}"	0.5115834382878135	0.39999999999999997	0.5580176767676768	0.4210435763665894	0.525	0.8	0.25	3.761308767848806
PRIMARY	ridge	Lee_Manchester	5	338	25	12	13	483	1.0246076956443401e-07	"{""C"": 0.02}"	0.5144685598305097	0.2756410256410256	0.38442192445709067	0.39332909120163295	0.4487179487179487	0.6666666666666666	0.23076923076923078	1.0953178377434656
PRIMARY	ridge	Lee_PRIMM_NL	6	308	55	33	22	483	5.636676092694479e-08	"{""C"": 10.0}"	0.4408456882450481	0.45179063360881544	0.6002491318453033	0.4709476035880723	0.46212121212121215	0.5151515151515151	0.4090909090909091	2.6822151394998204
PRIMARY	ridge	Lee_PRIMM_UK	7	309	54	33	21	469	5.636676092694479e-08	"{""C"": 2.0}"	0.44745634354805985	0.6637806637806637	0.7824873515271767	0.3677128402160541	0.5822510822510822	0.5454545454545454	0.6190476190476191	2.200681769274953
PRIMARY	ridge	Matson_US	8	325	38	14	24	489	5.636676092694479e-08	"{""C"": 10.0}"	0.4824952206197602	0.4136904761904761	0.3567275800764854	0.5697912304348024	0.44642857142857145	0.6428571428571429	0.25	3.987426852480263
