scenario	model	train_domain	test_domain	train_n	test_n	train_responders	train_non_responders	test_responders	test_non_responders	selected_features	pseudocount	locked_params	roc_auc	roc_auc_ci_low	roc_auc_ci_high	roc_auc_bootstrap_valid	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss	train_study_family	test_study_family	same_study_family	train_country	test_country	same_country	train_macro_region	test_macro_region	same_macro_region	train_treatment_scope_group	test_treatment_scope_group	same_treatment_scope_group	known_combination_ici_fraction_difference	absolute_response_rate_difference	log_train_n	log_test_n	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	elastic_net	Frankel_US	Gopalakrishnan_US	39	25	24	15	14	11	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.6298701298701298	0.40259740259740256	0.8605519480519479	500	0.6981695891085733	0.23998290923745513	0.6396103896103896	0.6428571428571429	0.6363636363636364	0.6728500593467867	Frankel_2017	Gopalakrishnan_2018	0	United_States	United_States	1	North_America	North_America	1	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.055384615384615365	3.6635616461296463	3.2188758248682006	1.4601102198390727	0.5138555257100887	0.457773044074274	0.0727642304785162
PRIMARY	elastic_net	Frankel_US	Lee_Barcelona	39	12	24	15	6	6	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3055555555555556	0.0	0.6111111111111113	500	0.43439153439153444	0.3179758695358436	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.8371341271904168	Frankel_2017	Lee_2022_family	0	United_States	Spain	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.11538461538461542	3.6635616461296463	2.4849066497880004	2.148005799674066	0.5625705120362823	0.5030899391825384	0.08056573056573058
PRIMARY	elastic_net	Frankel_US	Lee_Leeds	39	18	24	15	10	8	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.16249999999999998	0.025	0.4065624999999997	500	0.41575863678804853	0.35609055013351437	0.275	0.3	0.25	0.9290024391079044	Frankel_2017	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.05982905982905984	3.6635616461296463	2.8903717578961645	2.0000659164923533	0.43330674562958954	0.39824176658373817	0.06973855069093164
PRIMARY	elastic_net	Frankel_US	Lee_Manchester	39	25	24	15	12	13	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4935897435897436	0.2594551282051282	0.7341346153846152	500	0.5101589711458132	0.297328153680564	0.5064102564102564	0.16666666666666666	0.8461538461538461	0.8276178084309415	Frankel_2017	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.13538461538461544	3.6635616461296463	3.2188758248682006	2.0576633286376182	0.5284366611922444	0.4800730908319456	0.07087714402000117
PRIMARY	elastic_net	Frankel_US	Lee_PRIMM_NL	39	55	24	15	33	22	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.534435261707989	0.37799586776859506	0.7011019283746557	500	0.6038464792259542	0.3059588625330556	0.48484848484848486	0.24242424242424243	0.7272727272727273	0.8175477598956022	Frankel_2017	Lee_2022_family	0	United_States	Netherlands	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.015384615384615441	3.6635616461296463	4.007333185232471	2.1537283003203482	0.5362672870971259	0.49418965792965314	0.07240103811532383
PRIMARY	elastic_net	Frankel_US	Lee_PRIMM_UK	39	54	24	15	33	21	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.48773448773448774	0.3362193362193362	0.6804112554112555	500	0.5890538676438212	0.32032897833042434	0.46320346320346323	0.21212121212121213	0.7142857142857143	0.8510495184708013	Frankel_2017	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.004273504273504258	3.6635616461296463	3.9889840465642745	1.822480321344653	0.5029369678988839	0.44529863877920617	0.06176134271372367
PRIMARY	elastic_net	Frankel_US	Matson_US	39	38	24	15	14	24	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3630952380952381	0.16666666666666663	0.5819196428571428	500	0.36601480492103344	0.3144850047875729	0.4017857142857143	0.42857142857142855	0.375	0.8412853570249705	Frankel_2017	Matson_2018	0	United_States	United_States	1	North_America	North_America	1	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.2469635627530365	3.6635616461296463	3.6375861597263857	1.0679491869084694	0.4539916266983753	0.38945877784631266	0.04694336574035822
PRIMARY	elastic_net	Frankel_US	Spencer_US	39	97	24	15	71	26	500	1.6488298996136508e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5319609967497291	0.4270178764897074	0.6514219934994583	500	0.7591550466145952	0.2668599070741513	0.5419826652221018	0.5070422535211268	0.5769230769230769	0.7320734307812405	Frankel_2017	Spencer_2021	0	United_States	United_States	1	North_America	North_America	1	mixed_ICI_including_combination	anti_PD1_based_unspecified_mix	0	nan	0.11657414750198247	3.6635616461296463	4.574710978503383	1.37106100772541	0.4428438885729916	0.3915311991633044	0.059063371581780995
PRIMARY	elastic_net	Gopalakrishnan_US	Frankel_US	25	39	14	11	24	15	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.46944444444444444	0.275	0.6460416666666665	500	0.5856272773896165	0.28279160700080663	0.425	0.25	0.6	0.7622372168149825	Gopalakrishnan_2018	Frankel_2017	0	United_States	United_States	1	North_America	North_America	1	anti_PD1_only	mixed_ICI_including_combination	0	nan	0.055384615384615365	3.2188758248682006	3.6635616461296463	1.4601102198390727	0.5138555257100887	0.457773044074274	0.0727642304785162
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Barcelona	25	12	14	11	6	6	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.33333333333333337	0.08333333333333331	0.6944444444444445	500	0.46464646464646464	0.28927919278825104	0.5	0.3333333333333333	0.6666666666666666	0.7763190600294932	Gopalakrishnan_2018	Lee_2022_family	0	United_States	Spain	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0	nan	0.06000000000000005	3.2188758248682006	2.4849066497880004	1.7464261293987988	0.43864029899351553	0.4368346369614659	0.07725321239606954
