scenario	model	predictor	statistic_type	prespecified_direction	observed_statistic	qap_p_two_sided	qap_p_prespecified_direction	permutations
PRIMARY	elastic_net	aitchison_centroid_distance	spearman_rho	negative	-0.1076603929138409	0.38076192380761925	0.18868113188681132	10000
PRIMARY	elastic_net	bray_curtis_centroid_distance	spearman_rho	negative	0.0022194703050657373	0.9867013298670133	0.48075192480751927	10000
PRIMARY	elastic_net	jensen_shannon_distance	spearman_rho	negative	-0.009231709819621256	0.9422057794220577	0.43565643435656437	10000
PRIMARY	elastic_net	prevalence_l1_distance	spearman_rho	negative	-0.12213519925122615	0.34406559344065596	0.17248275172482752	10000
PRIMARY	elastic_net	same_study_family	mean_auc_relation_1_minus_0	positive	0.03566913535592753	0.35776422357764226	0.17688231176882313	10000
PRIMARY	elastic_net	same_country	mean_auc_relation_1_minus_0	positive	0.03078107845322242	0.4036596340365963	0.19568043195680432	10000
PRIMARY	elastic_net	same_macro_region	mean_auc_relation_1_minus_0	positive	0.045380851143095036	0.142985701429857	0.09419058094190581	10000
PRIMARY	elastic_net	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.0061385417559394195	0.8068193180681932	0.5766423357664233	10000
PRIMARY	random_forest	aitchison_centroid_distance	spearman_rho	negative	-0.03226299438910853	0.815018498150185	0.40575942405759424	10000
PRIMARY	random_forest	bray_curtis_centroid_distance	spearman_rho	negative	0.07157045116227964	0.5861413858614138	0.7023297670232976	10000
PRIMARY	random_forest	jensen_shannon_distance	spearman_rho	negative	0.04860357380054137	0.7128287171282872	0.6388361163883611	10000
PRIMARY	random_forest	prevalence_l1_distance	spearman_rho	negative	-0.09103118057943882	0.5397460253974603	0.27607239276072393	10000
PRIMARY	random_forest	same_study_family	mean_auc_relation_1_minus_0	positive	0.00020878266553797653	1.0	0.5212478752124787	10000
PRIMARY	random_forest	same_country	mean_auc_relation_1_minus_0	positive	0.006604187891088575	0.9027097290270973	0.4617538246175382	10000
PRIMARY	random_forest	same_macro_region	mean_auc_relation_1_minus_0	positive	0.013507284790895524	0.7521247875212479	0.36466353364663534	10000
PRIMARY	random_forest	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	0.005787519261130802	0.9192080791920808	0.47165283471652836	10000
PRIMARY	ridge	aitchison_centroid_distance	spearman_rho	negative	-0.05786798956399931	0.6925307469253075	0.3290670932906709	10000
PRIMARY	ridge	bray_curtis_centroid_distance	spearman_rho	negative	0.0765247065996411	0.5977402259774023	0.6848315168483151	10000
PRIMARY	ridge	jensen_shannon_distance	spearman_rho	negative	0.05719248774029503	0.7019298070192981	0.6260373962603739	10000
PRIMARY	ridge	prevalence_l1_distance	spearman_rho	negative	-0.13538986552244198	0.37836216378362164	0.19118088191180882	10000
