scenario	species	classification	domain_k	domain_pooled_effect	domain_ci_low	domain_ci_high	domain_p_value	domain_fdr_q	domain_I2	domain_prediction_low	domain_prediction_high	domain_sign_consistency	positive_domains	negative_domains	significant_positive_domains	significant_negative_domains	family_k	family_pooled_effect	family_p_value	family_fdr_q	family_I2	family_sign_consistency	family_same_direction	family_support_p_lt_0_10	prevalence_meta_effect	prevalence_meta_p	prevalence_meta_fdr_q	prevalence_same_direction	dominant_domain_share	influential_domain	loo_sign_flip
PRIMARY	s__Faecalicatena_contorta	CONSISTENT_NONSIGNIFICANT	5	0.27453586154817655	-0.11964046108094245	0.6687121841772956	0.1252757485488864	0.9899399288667535	0.0	-0.17728109716494317	0.7263528202612963	1.0	5	0	0	0	3	0.29901310637894596	0.15139811036187462	0.9868213417628564	0.0	1.0	1	0	0.6111648781552192	0.14328860998695356	0.9996325270282626	1	0.41821005360303737	Lee_PRIMM_NL	0
PRIMARY	s__GGB14025_SGB14906	CONSISTENT_NONSIGNIFICANT	6	0.27436475864128057	-0.07536772549264803	0.6240972427752092	0.09979984710299922	0.9899399288667535	0.0	-0.10337581023158804	0.6521053275141492	1.0	6	0	0	0	3	0.2523438808111879	0.19524407181509518	0.9868213417628564	0.0	1.0	1	0	0.440473508814655	0.21749590832651344	0.9996325270282626	1	0.42386190748602126	Lee_Manchester	0
PRIMARY	s__GGB9694_SGB15204	CONSISTENT_NONSIGNIFICANT	5	0.20857332761590697	-0.16943762753823827	0.5865842827700523	0.2002978017151406	0.9899399288667535	0.0	-0.22471439230367896	0.6418610475354929	1.0	5	0	0	0	4	0.1589297543665517	0.2579502489399355	0.9868213417628564	0.0	1.0	1	0	0.4065445260461153	0.3087782428510383	0.9996325270282626	1	0.3806974195720218	Lee_PRIMM_UK	0
PRIMARY	s__GGB9781_SGB15402	CONSISTENT_NONSIGNIFICANT	6	0.09318130231705442	-0.2544438728020147	0.4408064774361235	0.5214569797745529	0.9899399288667535	0.0	-0.28228319515768224	0.46864579979179105	1.0	6	0	0	0	3	0.13590026770972782	0.40934126118097613	0.9868213417628564	0.0	1.0	1	0	0.089691677403054	0.749291377055513	0.9996325270282626	1	0.4857680096827545	Lee_PRIMM_UK	0
PRIMARY	s__Veillonella_parvula	CONSISTENT_NONSIGNIFICANT	9	-0.31516403178518804	-0.6056814443063636	-0.02464661926401246	0.036847839881953254	0.9899399288667535	16.27819353390536	-0.7974926207487637	0.16716455717838763	0.8888888888888888	1	8	0	1	5	-0.28233933485684615	0.21709550645617404	0.9868213417628564	51.017297684056764	0.8	1	0	-0.5490250203968934	0.0719856796672124	0.9996325270282626	1	0.20991588278691947	Matson_US	0
PRIMARY	s__Hungatella_hathewayi	CONSISTENT_NONSIGNIFICANT	9	-0.21443967785496257	-0.46878720467832313	0.03990784896839797	0.08777707992006407	0.9899399288667535	0.0	-0.47525288372211927	0.04637352801219416	0.8888888888888888	1	8	0	0	5	-0.21210104054574014	0.1258377212880852	0.9868213417628564	0.0	1.0	1	0	-0.4468090382012115	0.11144016781694417	0.9996325270282626	1	0.23907483185221245	Spencer_US	0
PRIMARY	s__Dorea_formicigenerans	CONSISTENT_NONSIGNIFICANT	9	0.21321151773825928	-0.041408444111921044	0.4678314795884396	0.08958475460758013	0.9899399288667535	0.0	-0.04788104863650974	0.47430408411302827	0.8888888888888888	8	1	0	0	5	0.23138222009371068	0.10317471650712244	0.9868213417628564	0.0	1.0	1	0	0.4815701793247217	0.13041943522204938	0.9996325270282626	1	0.28604544287176054	Spencer_US	0
PRIMARY	s__Clostridium_fessum	CONSISTENT_NONSIGNIFICANT	9	0.1415945262132916	-0.11269547757397208	0.3958845300005553	0.23506584599274158	0.9899399288667535	0.0	-0.11915969435977192	0.4023487467863551	0.8888888888888888	8	1	0	0	5	0.12178559358439915	0.32979405466487727	0.9868213417628564	0.0	1.0	1	0	0.41307617856467144	0.13655638628112607	0.9996325270282626	1	0.29863853209062446	Frankel_US	0
PRIMARY	s__Anaerotruncus_rubiinfantis	CONSISTENT_NONSIGNIFICANT	9	-0.14122580760172723	-0.39519812965367485	0.11274651445022035	0.23564610626041008	0.9899399288667535	0.0	-0.4016542707498104	0.11920265554635598	0.8888888888888888	1	8	0	0	5	-0.13794713667356004	0.27739315934375547	0.9868213417628564	0.0	0.8	1	0	-0.15138749433491286	0.5445385408378894	0.9996325270282626	1	0.22459692729653336	Gopalakrishnan_US	0
PRIMARY	s__Clostridium_sp_AF20_17LB	CONSISTENT_NONSIGNIFICANT	9	0.0624862861754048	-0.19116808171657762	0.31614065406738723	0.5855736104883935	0.9899399288667535	0.0	-0.1976161402131108	0.3225887125639204	0.8888888888888888	8	1	0	0	5	0.05595135000722131	0.6365897205621822	0.9868213417628564	0.0	0.8	1	0	0.1923288017111505	0.5140246224845676	0.9996325270282626	1	0.24615697065914838	Lee_PRIMM_UK	0
