scenario	species	classification	domain_k	domain_pooled_effect	domain_ci_low	domain_ci_high	domain_p_value	domain_fdr_q	domain_I2	domain_prediction_low	domain_prediction_high	domain_sign_consistency	positive_domains	negative_domains	significant_positive_domains	significant_negative_domains	family_k	family_pooled_effect	family_p_value	family_fdr_q	family_I2	family_sign_consistency	family_same_direction	family_support_p_lt_0_10	prevalence_meta_effect	prevalence_meta_p	prevalence_meta_fdr_q	prevalence_same_direction	dominant_domain_share	influential_domain	loo_sign_flip
PRIMARY	s__GGB3321_SGB4394	DOMAIN_SPECIFIC	5	-0.49244098472446507	-1.540370299041388	0.5554883295924578	0.2619943364309986	0.9899399288667535	65.88042123295492	-2.7453862175789068	1.7605042481299764	0.8	1	4	0	1							0	0	-0.5519107602885933	0.4645736561955	0.9996325270282626	1	0.6153813290239192	Lee_Barcelona	0
PRIMARY	s__Bacteroides_eggerthii	DOMAIN_SPECIFIC	7	0.06997990234603378	-0.4515101511159254	0.591469955807993	0.7537988814139405	0.9899399288667535	65.70674002308708	-1.2040925876586215	1.3440523923506889	0.5714285714285714	3	4	1	0	4	0.09570336108290266	0.6358912188092919	0.9868213417628564	47.37947943006791	0.5	1	0	0.12625458017000746	0.7963188570954457	0.9996325270282626	1	0.26700354658791253	Lee_PRIMM_UK	1
PRIMARY	s__Eisenbergiella_massiliensis	DOMAIN_SPECIFIC	7	0.0816856065298426	-0.4377175707431764	0.6010887838028616	0.713640700145642	0.9899399288667535	63.64708640965699	-1.185827562606328	1.349198775666013	0.5714285714285714	3	4	1	0	5	0.11148372747056304	0.7204562877265378	0.9868213417628564	73.81205895409708	0.6	1	0	0.09245325048254213	0.840000640866276	0.9996325270282626	1	0.409050208246048	Frankel_US	1
PRIMARY	s__Holdemania_filiformis	DOMAIN_SPECIFIC	9	-0.05143629565509738	-0.4899823757465104	0.3871097844363156	0.793647663224565	0.9899399288667535	62.26958834187046	-1.157732927541783	1.0548603362315883	0.6666666666666666	3	6	1	0	5	0.04302562377824607	0.860588530442667	0.9868213417628564	71.00462821977771	0.6	0	0	-0.02225852438227157	0.9525680296064328	0.9996325270282626	1	0.22193290066023333	Spencer_US	1
PRIMARY	s__Actinomyces_graevenitzii	DOMAIN_SPECIFIC	5	-0.17190534035681262	-0.8305281166827592	0.48671743596913397	0.5087724238685387	0.9899399288667535	60.19238605019629	-1.6718913926989625	1.328080711985337	0.6	2	3	0	1	3	-0.13458846719503975	0.7601425915772192	0.9868213417628564	75.71355281721206	0.6666666666666666	1	0	-0.214169909422509	0.6937731804986665	0.9996325270282626	1	0.3730596860232139	Matson_US	0
PRIMARY	s__Phascolarctobacterium_SGB4573	DOMAIN_SPECIFIC	5	-0.10690534014692896	-0.7058880042307559	0.49207732393689796	0.6462116055381667	0.9899399288667535	56.60269037705143	-1.410472979938841	1.1966622996449832	0.6	3	2	0	1	5	0.017335056607538476	0.912791588172715	0.9868213417628564	37.9230188007149	0.6	0	0	-0.19398456381433396	0.7013344790202946	0.9996325270282626	1	0.45159470533439017	Gopalakrishnan_US	1
PRIMARY	s__GGB45495_SGB63167	DOMAIN_SPECIFIC	5	0.005064198461828188	-0.6392706929538498	0.649399089877506	0.9836353643279763	0.9925937920540963	53.50445785872435	-1.3924341832023448	1.4025625801260013	0.6	3	2	0	1							0	0	0.024394255001000398	0.9560891494451091	0.9996325270282626	1	0.4783868056446869	Lee_Manchester	1
PRIMARY	s__Desulfovibrio_piger	DOMAIN_SPECIFIC	6	-0.11124432450456391	-0.7089668368672257	0.48647818785809793	0.6525380468449066	0.9899399288667535	52.63382404698046	-1.3595493698791898	1.1370607208700618	0.6666666666666666	2	4	0	1							0	0	0.11325664621940232	0.7925013842647496	0.9996325270282626	0	0.5777916893376535	Lee_Leeds	1
PRIMARY	s__GGB9767_SGB15385	DOMAIN_SPECIFIC	5	-0.0356857202126793	-0.6665863357804708	0.5952148953551121	0.8828179511930522	0.9899399288667535	52.121571676710346	-1.3948857622349877	1.3235143218096292	0.6	2	3	1	0							0	0	-0.09935662317062706	0.8098462651921284	0.9996325270282626	1	0.31407403942671763	Lee_PRIMM_UK	1
PRIMARY	s__Lacrimispora_amygdalina	DOMAIN_SPECIFIC	8	0.016577071856955346	-0.39924575373053534	0.432399897444446	0.927538321605811	0.9899399288667535	52.04859414220554	-0.9443675475681887	0.9775216912820994	0.5	4	4	0	1	5	0.06158845951985735	0.7199906761935522	0.9868213417628564	43.9427754769344	0.6	1	0	7.071130152470799e-05	0.9998872431588107	0.9998995945261049	1	0.21797087521710368	Lee_PRIMM_UK	1
