scenario	species	full_pooled_effect	full_I2	full_fdr_q	influential_omitted_domain	max_abs_loo_delta	pooled_effect_after_influential_omission	signed_loo_delta	any_leave_one_domain_sign_flip	largest_absolute_effect_domain	largest_absolute_domain_effect	dominant_domain_absolute_effect_share
PRIMARY	s__Actinomyces_SGB17157	-0.14046929421651225	1.0626909752246234	0.9899399288667535	Lee_PRIMM_NL	0.15150035610968446	-0.2919696503261967	-0.15150035610968446	0	Lee_PRIMM_UK	-0.4128393279324604	0.3969186215958598
PRIMARY	s__Actinomyces_SGB17163	0.10118496900392711	0.0	0.9899399288667535	Lee_PRIMM_UK	0.1067362347149569	0.207921203718884	0.1067362347149569	0	Lee_PRIMM_NL	0.22593670268885735	0.3024833352297574
PRIMARY	s__Actinomyces_graevenitzii	-0.17190534035681262	60.19238605019629	0.9899399288667535	Matson_US	0.1857616707447776	-0.3576670111015902	-0.1857616707447776	0	Frankel_US	-0.8206111503180656	0.3730596860232139
PRIMARY	s__Actinomyces_oris	-0.2861929880866042	29.093271948715067	0.9899399288667535	Lee_PRIMM_NL	0.09942248555851613	-0.38561547364512033	-0.09942248555851613	0	Lee_Manchester	-0.7698817875142079	0.3332409410867971
PRIMARY	s__Actinomyces_sp_HMSC035G02	-0.2348226350841108	0.0	0.9899399288667535	Lee_PRIMM_NL	0.07865942687035099	-0.1561632082137598	0.07865942687035099	0	Lee_PRIMM_NL	-0.4062241760690569	0.46678617592806115
PRIMARY	s__Actinomyces_sp_ph3	-0.31402759433407523	0.0	0.9899399288667535	Lee_Manchester	0.036350860711586885	-0.3503784550456621	-0.036350860711586885	0	Lee_PRIMM_UK	-0.3724393699756737	0.32344565760188076
PRIMARY	s__Adlercreutzia_equolifaciens	-0.07339252907497595	57.75146357004378	0.9899399288667535	Matson_US	0.11323690079890857	0.03984437172393261	0.11323690079890857	1	Matson_US	-0.8463200150791936	0.19627522597758934
PRIMARY	s__Alistipes_SGB2313	-0.09913836169358771	0.0	0.9899399288667535	Lee_PRIMM_UK	0.15432391385390531	-0.253462275547493	-0.15432391385390531	0	Lee_Manchester	-0.48076677173367677	0.4613459512196224
PRIMARY	s__Alloscardovia_omnicolens	-0.11088183282457287	0.0	0.9899399288667535	Lee_PRIMM_UK	0.1705191129212828	-0.28140094574585567	-0.1705191129212828	1	Lee_PRIMM_NL	-0.3910659055943775	0.4000220652213102
PRIMARY	s__Anaerococcus_SGB53821	-0.009553428617943522	13.834568566196149	0.9907292483558621	Spencer_US	0.20940982332474406	-0.2189632519426876	-0.20940982332474406	1	Matson_US	-0.3557644861629878	0.36540616705652934
