species	available_scenarios	same_pooled_direction_all_scenarios	pooled_effect_range	same_classification_all_scenarios	primary_classification	primary_pooled_effect	primary_fdr_q	primary_I2	S1_effect	S2_effect	S3_effect	S1_classification	S2_classification	S3_classification
s__Acidaminococcus_intestini	4	1	0.0	1	OTHER_OR_INSUFFICIENT	0.10418894885289762	0.9899399288667535	0.0	0.10418894885289762	0.10418894885289762	0.10418894885289762	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinobaculum_sp_oral_taxon_183	4	0	0.052613009370673494	1	OTHER_OR_INSUFFICIENT	-0.018809694984412414	0.9899399288667535	0.0	-0.018809694984412414	-0.018809694984412414	0.03380331438626108	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinomyces_SGB17154	4	1	0.03641843589604057	1	OTHER_OR_INSUFFICIENT	-0.03797004636081408	0.9899399288667535	0.0	-0.03797004636081408	-0.03797004636081408	-0.0015516104647735132	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinomyces_SGB17157	4	1	0.0	1	OTHER_OR_INSUFFICIENT	-0.14046929421651225	0.9899399288667535	1.0626909752246234	-0.14046929421651225	-0.14046929421651225	-0.14046929421651225	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinomyces_SGB17163	4	1	0.015804949913589425	1	OTHER_OR_INSUFFICIENT	0.10118496900392711	0.9899399288667535	0.0	0.10118496900392711	0.10118496900392711	0.08538001909033768	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinomyces_SGB17168	4	0	0.14710974857176098	1	OTHER_OR_INSUFFICIENT	0.08817443854406992	0.9899399288667535	35.26243446563969	0.08817443854406992	0.08817443854406992	-0.058935310027691055	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinomyces_dentalis	4	1	0.0	1	OTHER_OR_INSUFFICIENT	-0.3461138215489671	0.9899399288667535	0.0	-0.3461138215489671	-0.3461138215489671	-0.3461138215489671	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinomyces_graevenitzii	4	1	0.06256955786198073	0	DOMAIN_SPECIFIC	-0.17190534035681262	0.9899399288667535	60.19238605019629	-0.17190534035681262	-0.17190534035681262	-0.23447489821879336	DOMAIN_SPECIFIC	DOMAIN_SPECIFIC	OTHER_OR_INSUFFICIENT
s__Actinomyces_oris	4	1	0.06755829783326056	1	OTHER_OR_INSUFFICIENT	-0.2861929880866042	0.9899399288667535	29.093271948715067	-0.2861929880866042	-0.2861929880866042	-0.21863469025334364	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Actinomyces_sp_HMSC035G02	4	1	0.029775248430512685	1	OTHER_OR_INSUFFICIENT	-0.2348226350841108	0.9899399288667535	0.0	-0.2348226350841108	-0.2348226350841108	-0.2645978835146235	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
