species	pathway	partial_spearman_rho_study_adjusted	partial_spearman_p	partial_spearman_fdr_q	response_effect_vector_spearman_rho	common_effect_studies	response_effect_sign_agreement	concordant_positive	concordant_inverse
species:Ruminococcus bromii	PWY-1042: glycolysis IV (plant cytosol)	0.06883910214669603	0.2587558607365708	0.505816361463092	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6737: starch degradation V	0.10668556787957155	0.07957545262223717	0.24831692807322084	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-5686: UMP biosynthesis	0.1160121399018185	0.05646643886878617	0.19967756861051744	-0.3	5	0.4	0	0
species:Ruminococcus bromii	PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.10508387357262977	0.08422400578787156	0.2574977460171547	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-7219: adenosine ribonucleotides de novo biosynthesis	0.140824357653231	0.020388837858185852	0.10358301169006609	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.1570330136528843	0.009619252513057223	0.06207112059903782	-0.6	5	0.4	0	0
species:Ruminococcus bromii	CALVIN-PWY: Calvin-Benson-Bassham cycle	0.11473748290858293	0.059251753495501644	0.2060153710121458	-0.3	5	0.4	0	0
species:Ruminococcus bromii	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	-0.016776826828989594	0.7833745007798436	0.9003614175437235	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.14203952217886393	0.01931834503810758	0.09986407089436139	-0.8	5	0.4	0	0
species:Ruminococcus bromii	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.13733148312409485	0.023757104081031565	0.1147846131843091	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.13256792983828947	0.029117294667073322	0.13129562851814008	-0.6	5	0.4	0	0
species:Ruminococcus bromii	VALSYN-PWY: L-valine biosynthesis	0.13733148312409485	0.023757104081031565	0.1147846131843091	-0.6	5	0.4	0	0
species:Ruminococcus bromii	ARO-PWY: chorismate biosynthesis I	0.15513720953009943	0.010540370011283391	0.06620399653822998	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.14709690128052805	0.015370695405744822	0.08580324029742956	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.1391862588266664	0.021913110007909787	0.10864280085350916	-0.8	5	0.4	0	0
species:Ruminococcus bromii	PWY-6609: adenine and adenosine salvage III	0.0524914647864535	0.3893934599579532	0.6354341475640289	-0.5	5	0.4	0	0
species:Ruminococcus bromii	TRNA-CHARGING-PWY: tRNA charging	0.18132545971634534	0.0027348268816582482	0.025287239862289312	-0.6	5	0.4	0	0
species:Ruminococcus bromii	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.18813865629148002	0.0018666868853149633	0.0189940988605808	-0.3	5	0.6	0	0
species:Ruminococcus bromii	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.1902341878727395	0.0016554724213283952	0.01738770147213724	-0.3	5	0.6	0	0
species:Ruminococcus bromii	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.1749249955561872	0.0038693312559115456	0.03247471339428527	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0.19114121865426428	0.0015710239582139912	0.016717128208815622	-0.3	5	0.6	0	0
species:Ruminococcus bromii	COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.1613897244158275	0.007767731551911024	0.05358378055853898	-0.8	5	0.4	0	0
species:Ruminococcus bromii	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.09997430403780214	0.10052903658037199	0.28784813673762955	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.09997430403780214	0.10052903658037199	0.28784813673762955	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.085364340844816	0.16111306465469064	0.38244755530795765	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.10449877525588139	0.08597566832925405	0.2609685721639061	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-3841: folate transformations II	0.10795379369407006	0.07604374885684947	0.24138295956660935	-0.6	5	0.4	0	0
