layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q	classification	dominant_study_absolute_effect_share	any_leave_one_study_sign_flip
species	species:Acidaminococcus intestini	3	0.08512237519821714	0.21577664688216233	-0.8432896035255044	1.0135343539219386	0.7313092499785969	4.100642833858701e-11	0.9140042411212668	0.6331789973668804	0.0	-2.656579878579159	2.826824628975593	1	2	0.6666666666666666	-0.1786609937794422	0.32365819727179423	-0.017981749357724557	0	0	FrankelAE_2017;MatsonV_2018;WindTT_2020	0.9672070861934721	OTHER_OR_INSUFFICIENT	0.6220596046153523	0
species	species:Actinomyces graevenitzii	4	-0.2766648255043545	0.28136241740921647	-1.172085611234008	0.6187559602252988	0.3979636978227524	0.19236891468613085	7.8739031073558925	0.04869091624765072	61.89945495776593	-2.51872974584067	1.9654000948319612	1	3	0.75	-0.8274985944064758	0.4930769357539626	-0.45142468143228087	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;WindTT_2020	0.9672070861934721	STUDY_SPECIFIC	0.37217294679140367	0
species	species:Actinomyces naeslundii	3	-0.08636052055563496	0.22694286733701538	-1.0628168682004142	0.8900958270891443	0.7401609983925995	0.06814233167330927	3.189584757414811	0.2029506610071614	37.29591303850413	-4.48141078097142	4.30868973986015	1	2	0.6666666666666666	-0.5609153651630756	0.1365667191479025	-0.09069355772529346	0	0	FrankelAE_2017;LeeKA_2022;WindTT_2020	0.9672070861934721	OTHER_OR_INSUFFICIENT	0.7116629025910224	0
species	species:Actinomyces oris	4	-0.1880801891579845	0.15079161115850057	-0.6679663949571322	0.2918060166411631	0.30079348655618526	0.015241539153022027	3.036814146749709	0.38598391339811816	1.2122620934544512	-1.0265969915129531	0.6504366131969842	0	4	1.0	-0.7336159641469137	-0.04153481936757193	-0.19751517925690634	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;WindTT_2020	0.9672070861934721	STUDY_SPECIFIC	0.6269251296216605	0
species	species:Actinomyces sp. HMSC035G02	4	-0.013237410537290661	0.20566457850093445	-0.6677538885153206	0.6412790674407393	0.9527291374197798	0.042646380147196676	5.084254226963058	0.1657305803456029	40.99429599546266	-1.267254380487	1.2407795594124185	3	1	0.75	-0.6943254598349471	0.5081630466565564	0.09747461320901957	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;WindTT_2020	0.9753056572638503	OTHER_OR_INSUFFICIENT	0.4968560984748302	1
species	species:Actinomyces sp. HPA0247	4	-0.10246101291851137	0.12721621339784805	-0.5073197812186766	0.3023977553816539	0.4795047613475593	4.1301107615423334e-11	2.7998558604095987	0.42352364554812805	0.0	-0.6498282014615867	0.4449061756245639	1	3	0.75	-0.5152934311507249	0.24854762538592598	-0.18366606370226463	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;WindTT_2020	0.9672070861934721	OTHER_OR_INSUFFICIENT	0.45553893821577696	0
species	species:Actinomyces sp. ICM47	4	0.18144012832826875	0.1273787393165069	-0.22393586998124518	0.5868161266377827	0.24953145700566928	4.7134668473211833e-11	2.6172641813020463	0.45447094856127745	0.0	-0.3666263529000121	0.7295066095565496	3	1	0.75	-0.10960595091629423	0.807971409547448	0.22688352860814118	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;WindTT_2020	0.9672070861934721	OTHER_OR_INSUFFICIENT	0.5891819729097201	0
species	species:Actinomyces sp. oral taxon 181	3	-0.24633324618226662	0.13674388336067023	-0.8346946892005964	0.3420281968360632	0.2134296578337308	6.559110365650695e-11	1.2920102203994552	0.5241354633645896	0.0	-1.9838290276298887	1.4911625352653552	0	3	1.0	-0.6177165328726008	-0.17036393391394966	-0.29402144905330463	0	0	FrankelAE_2017;LeeKA_2022;PetersBA_2019	0.9672070861934721	CONSISTENT_NONSIGNIFICANT	0.570848756323632	0
species	species:Adlercreutzia caecimuris	5	-0.13778026182579153	0.26972072495174526	-0.886645048388465	0.611084524736882	0.6363748910128117	0.22804489327492866	11.551059980116756	0.021021440224043713	65.37114336792173	-1.8831835383970508	1.6076230147454678	3	2	0.6	-1.018560592371132	0.47882510405224615	0.08484571352735418	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9672070861934721	PROBABLE_DIRECTION_REVERSAL	0.4232778703649052	1
species	species:Adlercreutzia equolifaciens	5	-0.07211146899260912	0.2559481695415693	-0.7827375115006341	0.6385145735154159	0.7921162866148809	0.20410492276103723	11.59973463366923	0.02058970228865153	65.51645251961493	-1.7245777921417038	1.5803548541564858	2	3	0.6	-0.9588138999253902	0.6015197131943063	-0.04783387262257304	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9672070861934721	PROBABLE_DIRECTION_REVERSAL	0.4567550735465557	1
species	species:Adlercreutzia equolifaciens_1	5	-0.0964718526632614	0.24381197446697767	-0.7734024157607109	0.5804587104341881	0.7125367701753514	0.17811904452674965	10.99684309307697	0.026599516551344387	63.62592458450018	-1.6476110800634285	1.4546673747369059	2	3	0.6	-0.9618114506357067	0.467897704428937	-0.13957087702469526	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9672070861934721	PROBABLE_DIRECTION_REVERSAL	0.4853752095116799	1
species	species:Agathobaculum butyriciproducens	5	0.22123720147648196	0.12217717925525749	-0.11798102983365111	0.560455432786615	0.14441460266283043	4.0996868548202696e-11	2.3166204752254176	0.6777446940047454	0.0	-0.16758511176833657	0.6100595147213005	3	2	0.6	-0.17592946459916756	0.5599964006380843	0.13198771925653208	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9672070861934721	OTHER_OR_INSUFFICIENT	0.48064002309118853	0
species	species:Akkermansia muciniphila	5	-0.014501400943192405	0.12163599055980315	-0.35221705154884286	0.32321424966245804	0.9108490408107687	4.1044188942118866e-11	0.9467711599094468	0.9177569244048597	0.0	-0.4016014102266956	0.3725986083403108	2	3	0.6	-0.2190383268916254	0.06773113953154795	-0.1890649653634316	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.971358711680465	OTHER_OR_INSUFFICIENT	0.29438958769568774	1
species	species:Alistipes finegoldii	5	-0.10910507044455653	0.12184365218699979	-0.4473972821585745	0.22918714126946144	0.4211615177419384	4.172596805073409e-11	2.02604054384154	0.7309691264434861	0.0	-0.4968659517142695	0.27865581082515645	2	3	0.6	-0.40164342306093404	0.32376183322724494	-0.03933663159158776	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9672070861934721	OTHER_OR_INSUFFICIENT	0.40139559888224524	0
