layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q	classification	dominant_study_absolute_effect_share	any_leave_one_study_sign_flip	functional_category
pathway	PWY-1861: formaldehyde assimilation II (RuMP Cycle)	5	-0.1056625683034993	0.3298091998712044	-1.0213597069351055	0.8100345703281069	0.764722156976635	0.4078732591282582	17.488672127337402	0.0015528709057375596	77.12805197058155	-2.3931472544392003	2.1818221178322013	2	3	0.6	-0.8306982215966319	0.9153522725644683	-0.35487853707187056	1	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STRONG_DIRECTION_REVERSAL	0.2890127259825905	1	Nucleotide
pathway	DAPLYSINESYN-PWY: L-lysine biosynthesis I	5	0.10768932741866352	0.29628348703829466	-0.7149255099197436	0.9303041647570707	0.7346509839816003	0.27777024388561156	12.028934025292807	0.017137396384850036	66.74684563412399	-1.8164518925817723	2.031830547419099	3	2	0.6	-0.8511318186233392	0.8650340773861185	0.0339791576103866	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	PROBABLE_DIRECTION_REVERSAL	0.32245384748731154	1	Amino acid
pathway	PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	5	0.21646534744653806	0.2970076460011013	-0.6081600774995386	1.0410907723926148	0.5064905720461009	0.2700416803241776	11.653796206552894	0.020120266455950955	65.67642054911848	-1.6883695972223418	2.121300292115418	3	2	0.6	-0.6354360003517712	0.9959579797036803	0.2669863507946541	2	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	PROBABLE_DIRECTION_REVERSAL	0.3265649087189674	0	Other
pathway	RUMP-PWY: formaldehyde oxidation I	5	0.07488396972978234	0.28665025247238907	-0.7209847206508939	0.8707526601104587	0.8068080806539125	0.25398325453377557	11.472553352391795	0.021736349539770005	65.1341782675948	-1.7702533387830408	1.9200212782426054	3	2	0.6	-0.7485303351384884	1.0441726522337642	0.1024181927639578	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	PROBABLE_DIRECTION_REVERSAL	0.4279956317531979	1	Nucleotide
pathway	P122-PWY: heterolactic fermentation	5	0.12721157953081283	0.273039539224256	-0.6308677126738337	0.8852908717354594	0.66551970044676	0.22616425317225605	11.367825642836127	0.022726826828748586	64.81297192906233	-1.617961549949816	1.8723847090114416	3	2	0.6	-0.7542534651202035	0.8393982107548996	0.3421130375789085	1	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9795255493262657	STRONG_DIRECTION_REVERSAL	0.3087413727885347	1	Fermentation/SCFA
pathway	REDCITCYC: TCA cycle VIII (helicobacter)	5	-0.018540451929183334	0.2931157737540527	-0.8323603072248867	0.7952794033665201	0.952599751226124	0.23396966105118994	10.932672589942097	0.027331193575282197	63.41242301832085	-1.8184846990070975	1.7814037951487307	2	3	0.6	-0.7323266497918448	1.201619224126854	-0.1323101777006354	1	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STRONG_DIRECTION_REVERSAL	0.48237499837316444	1	Other
pathway	PWY-5177: glutaryl-CoA degradation	5	0.27039057213387857	0.2349366377807008	-0.38189810586397516	0.9226792501317322	0.31388828605703606	0.1525835346910343	10.112382336776989	0.038576573689819184	60.44453357491547	-1.180256141114609	1.7210372853823663	3	2	0.6	-0.4060991573308867	0.9901883123784854	0.39719441509211606	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	PROBABLE_DIRECTION_REVERSAL	0.4019726857013711	0	Other
pathway	PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	5	-0.030122835119379358	0.2465556848436902	-0.7146711594623328	0.654425489223574	0.9086529053741498	0.16974293137655472	9.410479645111822	0.051619549969721006	57.494196355041694	-1.5581366967939296	1.4978910265551708	2	3	0.6	-0.9060001858143539	0.5610666082358918	-0.022339217574992888	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	PROBABLE_DIRECTION_REVERSAL	0.4445088010493651	1	Lipid
pathway	P108-PWY: pyruvate fermentation to propanoate I	5	0.020543244007110138	0.23329555592833096	-0.6271890603145024	0.6682755483287227	0.9340639211305012	0.1527570382879447	9.272345276145186	0.05464118299754618	56.860967954992624	-1.4280252640435442	1.4691117520577643	3	2	0.6	-0.688715452315577	0.5332677912766957	0.2975203272448582	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	PROBABLE_DIRECTION_REVERSAL	0.30357487474777384	1	Fermentation/SCFA
pathway	SALVADEHYPOX-PWY: adenosine nucleotides degradation II	5	0.16447820363949495	0.2126668532311007	-0.4259796400518122	0.7549360473308021	0.4824464388166015	0.11340538734872213	9.067558317169574	0.05943284945725509	55.886691211834474	-1.1030489615148362	1.4320053687938261	3	2	0.6	-0.2794934507730141	0.6315622753295312	0.23883939429449177	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	PROBABLE_DIRECTION_REVERSAL	0.3636001021062229	0	Nucleotide
pathway	HSERMETANA-PWY: L-methionine biosynthesis III	5	-0.026448627533494053	0.2341119124919158	-0.6764475010401678	0.6235502459731797	0.9154938276538128	0.15000293701403858	8.920438165767397	0.06311920681273761	55.15915333228597	-1.4666992382700133	1.413801983203025	2	3	0.6	-0.6702160990208572	0.7885925975577154	-0.11976243278389674	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	PROBABLE_DIRECTION_REVERSAL	0.40608236475076	1	Amino acid
pathway	PWY-5994: palmitate biosynthesis I (animals and fungi)	5	-0.10141544734982323	0.24197464461528906	-0.7732447649739181	0.5704138702742717	0.6966597183106796	0.11916568760192552	8.370870473643194	0.07889941566837723	52.21524436921422	-1.4430248093516345	1.240193914651988	2	3	0.6	-1.1482421453108345	0.5196671908934396	-0.04423078643700129	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9795255493262657	PROBABLE_DIRECTION_REVERSAL	0.5386556489347273	1	Lipid
pathway	TRPSYN-PWY: L-tryptophan biosynthesis	5	0.0005659225723261463	0.22846974538531106	-0.633767783688507	0.6348996288331592	0.9981422424838471	0.12723522131761356	8.26124110586848	0.08246395950434282	51.58112505446007	-1.3475058830108557	1.3486377281555082	2	3	0.6	-0.4782731551850487	0.8634237770086425	-0.008482377928691463	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9981422424838471	PROBABLE_DIRECTION_REVERSAL	0.4795537752554111	1	Amino acid
pathway	METH-ACETATE-PWY: methanogenesis from acetate	5	0.044996689469091807	0.22150100330677017	-0.5699886869583904	0.6599820658965742	0.8489375512386715	0.11996429499273416	8.254017413697241	0.08270408226691064	51.53875016834656	-1.2633990252957323	1.353392404233916	3	2	0.6	-0.6072108073178893	0.5991751433436218	0.2003974004271267	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	PROBABLE_DIRECTION_REVERSAL	0.2767029764549042	1	Fermentation/SCFA
pathway	GLUTORN-PWY: L-ornithine biosynthesis	5	-0.010166038628552403	0.22474428826033022	-0.6341562176901081	0.6138241404330034	0.9660891021267446	0.1218924931637566	8.128136786842294	0.0869955594129543	50.788229764106084	-1.3315616184958778	1.3112295412387729	2	3	0.6	-0.5058007145273525	0.8278346244664867	-0.06583577978676419	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9877641781359986	PROBABLE_DIRECTION_REVERSAL	0.4328436738719358	1	Amino acid
