layer	feature	study	n	responders	nonresponders	prevalence	pseudocount	effect	variance	se	ci_low	ci_high	mean_clr_R	mean_clr_NR
pathway	PWY-1042: glycolysis IV (plant cytosol)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6787372343910095	0.13316826663424397	0.36492227478497935	-0.03651042418755002	1.393984892969569	2.7129810944448995	2.355750273107192
pathway	PWY-6737: starch degradation V	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6795650903265924	0.1331870079449412	0.3649479523780634	-0.03573289633441179	1.3948630769875967	2.6756842723676963	2.3096419475778096
pathway	PWY-5686: UMP biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6358004245313633	0.13222756574233574	0.36363108467557576	-0.07691650143276518	1.348517350495492	2.585187430494663	2.2511892283324624
pathway	PWY-7221: guanosine ribonucleotides de novo biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5676007159739983	0.13085970562466795	0.3617453601978441	-0.14142019001377615	1.2766216219617728	2.549261288065653	2.2564807111548304
pathway	PWY-7219: adenosine ribonucleotides de novo biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5689021585962657	0.1308843571793562	0.3617794316698452	-0.14018552747663093	1.2779898446691624	2.549537115989307	2.255803016260795
pathway	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6732467357988323	0.13304454886616107	0.36475272290438226	-0.04166860109375692	1.3881620726914217	2.538551654318611	2.201584728074968
pathway	CALVIN-PWY: Calvin-Benson-Bassham cycle	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6614894369896576	0.13278300066591295	0.36439401842773567	-0.052722839128704346	1.3757017131080196	2.405589697488974	2.0861683388534553
pathway	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.500534164683741	0.12966577024535889	0.3600913359765254	-0.2052448538302487	1.2063131831977307	2.586279527467068	2.302622385028793
pathway	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6261349601032314	0.13202427921615595	0.363351454126932	-0.08603388998555528	1.3383038101920182	2.52423143594896	2.207678495520788
pathway	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6405774773015621	0.13232918781886527	0.36377079022217446	-0.07241327153389976	1.3535682261370239	2.5940966099363774	2.2613867522882396
pathway	PWY-7111: pyruvate fermentation to isobutanol (engineered)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6384492596777519	0.13228382036481587	0.36370842767911754	-0.07441925857331844	1.3513177779288221	2.5933820026437213	2.2613867522882396
pathway	VALSYN-PWY: L-valine biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6405774773015621	0.13232918781886527	0.36377079022217446	-0.07241327153389976	1.3535682261370239	2.5940966099363774	2.2613867522882396
pathway	ARO-PWY: chorismate biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6529086716298733	0.1325950249699228	0.364135997904523	-0.06079788426299171	1.3666152275227383	2.4964574227557925	2.174134849592017
pathway	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6258306076439464	0.1320179285694979	0.363342715035678	-0.08632111382598251	1.3379823291138753	2.5015009613683774	2.186046794041679
pathway	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.621923110851891	0.13193666867529294	0.36323087516797486	-0.09000940447733974	1.3338556261811219	2.5085667962822167	2.1937706615598938
pathway	PWY-6609: adenine and adenosine salvage III	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6070581195807516	0.13163218875424668	0.3628115058184438	-0.10405243182339818	1.3181686709849014	2.555091243250143	2.23646818204323
pathway	TRNA-CHARGING-PWY: tRNA charging	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.582439598954744	0.13114412751894075	0.3621382712707133	-0.12735141273585404	1.2922306106453418	2.4558561146791287	2.1665054440070506
pathway	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7258857892457089	0.13427203239557914	0.36643148390330643	0.007680080795228306	1.4440914976961894	2.380953768343701	2.0243765393262545
pathway	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7230777917099214	0.13420422095949963	0.3663389427285879	0.005053463961889104	1.4411021194579536	2.3764954282752915	2.018370485399063
pathway	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6658380052096671	0.13287920023145786	0.3645259939036692	-0.04863294284152453	1.3803089532608586	2.4330162385621676	2.1054726534397723
pathway	PWY-7400: L-arginine biosynthesis IV (archaebacteria)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7228993503097085	0.13419992058973468	0.36633307329496567	0.004886526651575851	1.4409121739678412	2.375836161663271	2.017473278998998
pathway	COA-PWY-1: coenzyme A biosynthesis II (mammalian)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6304033404637911	0.13211366893956314	0.363474440558842	-0.08200656303153919	1.3428132439591214	2.5145210921344368	2.1977237448645845
pathway	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5655459221635876	0.13082089924636242	0.36169171852056886	-0.14336984613672743	1.2744616904639026	2.3778314386228487	2.0981032216984334
pathway	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5655459221635876	0.13082089924636242	0.36169171852056886	-0.14336984613672743	1.2744616904639026	2.3778314386228487	2.0981032216984334
pathway	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6050407642558664	0.13159143485195343	0.3627553374548105	-0.10595969715556208	1.3160412256672949	2.4746479876388547	2.164386956334744
pathway	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5444282902745021	0.13043023213261834	0.36115125935349907	-0.16342817805835608	1.2522847586073604	2.3726636959155805	2.101779409759003
pathway	PWY-3841: folate transformations II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5127141014840522	0.12987145857610802	0.360376828578237	-0.19362448252929232	1.2190526854973966	2.405939116588076	2.1423363823061985
pathway	PWY-6151: S-adenosyl-L-methionine cycle I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6987747216670201	0.13362829793911174	0.3655520454587988	-0.017707287432225494	1.4152567307662658	2.4418554233755323	2.0747451105136956
pathway	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5042633242279054	0.129728221081121	0.36017804080915455	-0.20168563575803744	1.2102122842138483	2.357136947615498	2.0947775329862703
pathway	PWY-5097: L-lysine biosynthesis VI	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5860037439754424	0.13121353587765197	0.362234089888917	-0.1239750722068349	1.2959825601577197	2.386475604783826	2.093351224126936
pathway	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5750966181283639	0.13100246474814273	0.36194262632099955	-0.13431092946079526	1.284504165717523	2.392658683546141	2.10542515592467
pathway	GLUTORN-PWY: L-ornithine biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.8278346244664867	0.1369120321695242	0.37001625933129506	0.10260275617714842	1.5530664927558249	2.2293751061897855	1.8211328319174895
pathway	PWY-6700: queuosine biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.567243417133849	0.1308529476497928	0.3617360192872598	-0.14175918066918025	1.2762460149368782	2.4044867499193474	2.103884170670543
pathway	PWY-5103: L-isoleucine biosynthesis III	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5562795482716204	0.13064764500885268	0.36145213377272056	-0.15216663392291185	1.2647257304661528	2.33895099235993	2.0620763001340228
pathway	PWY-5667: CDP-diacylglycerol biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5396195753002189	0.13034335084588453	0.36103095552304726	-0.16800109752495374	1.2472402481253915	2.37094794506635	2.079040087722232
pathway	PWY0-1319: CDP-diacylglycerol biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.53953319005594	0.130341797131297	0.3610288037418857	-0.16808326527815587	1.247149645390036	2.3709538493944824	2.0790885058996094
pathway	PWY-4242: pantothenate and coenzyme A biosynthesis III	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6176166977193231	0.13184770250012673	0.36310838946535884	-0.0940757456327802	1.3293091410714264	2.346280147740152	2.0072297683009075
pathway	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7518701327806294	0.13491200768789072	0.36730369952927333	0.03195488170325367	1.471785383858005	2.097216667398564	1.7090665897706212
pathway	COA-PWY: coenzyme A biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6019857034796346	0.13152997586499587	0.36267061621393576	-0.10884870429967941	1.3128201112589486	2.3185908659808434	1.9935245126253658
pathway	PWY-2942: L-lysine biosynthesis III	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.567586318870677	0.13085943323458413	0.3617449837034152	-0.1414338491880167	1.2766064869293707	2.3069315223179743	2.0195044816087044
pathway	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5367859657715819	0.13029251562925354	0.3609605458069532	-0.17069670401004633	1.24426863555321	2.2713055223412177	2.0069055109605505
pathway	PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.607984081242679	0.1316509401291731	0.3628373466571118	-0.1031771182052601	1.319145280690618	2.24598987585515	1.9457748096062675
pathway	HISTSYN-PWY: L-histidine biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7023905165764512	0.13371273670804026	0.36566752208535047	-0.014317826710835702	1.4190988598637382	2.2707126754478364	1.8970694729700168
pathway	PWY0-1296: purine ribonucleosides degradation	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5612285311629183	0.13073982048161947	0.3615796184543862	-0.14746752100767868	1.2699245833335153	2.205071457495685	1.8999879660229262
pathway	PWY-6123: inosine-5'-phosphate biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5352774319694396	0.13026556156469468	0.3609232072958106	-0.17213205433034928	1.2426869182692284	2.180057879683002	1.8900038612261343
pathway	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.4896844294219434	0.12948671008540294	0.3598426184950901	-0.21560710282843315	1.19497596167232	2.269139536780841	2.0327559553419063
pathway	PWY66-422: D-galactose degradation V (Leloir pathway)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7102040406819171	0.13389669240178007	0.3659189697211393	-0.006997139971515853	1.42740522133535	2.0584623229577033	1.690456607269644
pathway	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6216899255682815	0.13193183547098297	0.36322422203231847	-0.09022954961506269	1.3336094007516257	2.3079600187603453	1.9851631716089575
pathway	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5082880060886825	0.12979614103065817	0.360272315104364	-0.19784573151587093	1.214421743693236	2.008957287726209	1.7866370022210014
pathway	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.537533678241578	0.13030590366583003	0.36097909034434394	-0.1699853388333361	1.2450526953164922	2.1860185049774508	1.882442979877594
pathway	HSERMETANA-PWY: L-methionine biosynthesis III	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7885925975577154	0.13585483416047844	0.368584907667797	0.06616617852883322	1.5110190165865975	1.9786646972387136	1.5765599068901863
pathway	PWY-6124: inosine-5'-phosphate biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5270166437477978	0.1301193051248846	0.3607205360454054	-0.17999560690119676	1.2340288943967923	2.1106000716497153	1.82274921843697
pathway	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.4560465503523911	0.1289565036799033	0.35910514293157	-0.24779952979348602	1.1598926304982682	2.1930190799971108	1.9703835535866008
pathway	SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5787157480046939	0.13107206136157523	0.36203875671200625	-0.13088021515083825	1.288311711160226	1.9929766195435359	1.7197440984044932
pathway	PANTO-PWY: phosphopantothenate biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.46825118775568414	0.1291445156590082	0.3593668260413142	-0.23610779128529163	1.17261016679666	2.0961985619734533	1.831185621041049
pathway	RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5889658446831756	0.1312715421818208	0.36231414847038584	-0.12116988631878067	1.2991015756851318	2.177100602178168	1.8261732538314936
pathway	TRPSYN-PWY: L-tryptophan biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.8634237770086425	0.13791520639016253	0.37136936652093766	0.13553981862760467	1.5913077353896803	1.9060497507390617	1.493617789279597
pathway	PWY-3001: superpathway of L-isoleucine biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5579299438461005	0.1306782931157666	0.3614945270896457	-0.15059932924960506	1.266459216941806	2.1748873576874264	1.9097993698939466
pathway	PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6110530844045327	0.13171329394443626	0.36292326178468676	-0.10027650869345339	1.3223826775025187	2.0220435915111077	1.695073401266075
pathway	PWY-6168: flavin biosynthesis III (fungi)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.662204218902622	0.13279876987063857	0.36441565535887527	-0.05205046560077342	1.3764589034060175	2.0023941010622774	1.6133270958036952
pathway	PWY-6936: seleno-amino acid biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6084420331783318	0.1316602245407344	0.36285014061005183	-0.10274424241736979	1.3196283087740333	1.7997254231111497	1.5217126647556545
pathway	PWY-1861: formaldehyde assimilation II (RuMP Cycle)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.9153522725644683	0.13945469245991365	0.3734363298608126	0.1834170660372756	1.647287479091661	0.9150846687385017	0.14659036699374953
pathway	PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.7592100970935429	0.13509686227057782	0.36755525063665984	0.03880180584568971	1.4796183883413963	2.0144226934366958	1.6225731593042605
