layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q	classification	dominant_study_absolute_effect_share	any_leave_one_study_sign_flip	functional_category
pathway	PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	5	0.17074361585416645	0.24346148137099832	-0.5052138224025456	0.8467010541108785	0.521760769620606	0.17295851778459803	9.593896928102533	0.04785322276981397	58.30682745524227	-1.362891789594038	1.7043790213023708	4	1	0.8	-0.6087514584319768	0.8417401623540445	0.27268852689956063	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.36632706663922737	1	Amino acid
pathway	PWY-5505: L-glutamate and L-glutamine biosynthesis	5	0.02030860626684928	0.21711779558399055	-0.5825070345336564	0.6231242470673549	0.9299746247345259	0.11391754281414973	7.921003053671815	0.09451519375506634	49.501345058240034	-1.2568704974497764	1.2974877099834752	3	2	0.6	-0.6852518909501065	0.5475540927841939	0.18492523289098123	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.33851404218513725	1	Amino acid
pathway	PWY-5265: peptidoglycan biosynthesis II (staphylococci)	5	0.1551259290115576	0.22198950886505095	-0.46121575628207523	0.7714676143051905	0.5231755228040449	0.10973738292181938	7.83824122870417	0.0976866046060388	48.968143703567975	-1.1139350400351633	1.4241868980582786	3	2	0.6	-0.4655530942693991	0.9480924811782516	0.1185445698996847	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.4940167886354041	0	Cell envelope
pathway	PWY-6305: putrescine biosynthesis IV	5	0.045269984433173996	0.207417314219061	-0.5306128023636106	0.6211527712299586	0.8379127505429186	0.10153776838378899	7.579752975667495	0.10824351060001108	47.22783166099489	-1.1647282036995172	1.2552681725658654	2	3	0.6	-0.42726273504198614	0.8414080958971726	-0.034182417107885374	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.5126582750068704	1	Other
pathway	PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	5	-0.22178761108903705	0.20436504363032484	-0.7891959361499858	0.3456207139719118	0.33884098313556993	0.07024710209384082	7.060800346888012	0.13270987833032144	43.34919834175787	-1.286895733151457	0.8433205109733828	1	4	0.8	-1.1280692235678085	0.27362058522377486	-0.30059551132350143	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.526801407262886	0	Nucleotide
pathway	PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	5	-0.05400128730588923	0.20124122947764497	-0.6127365138530826	0.504733939241304	0.8017073363437909	0.08177161239131386	7.014468300543939	0.13512561450780133	42.97500781791517	-1.1668097257111874	1.0588071510994088	1	4	0.8	-0.41453216903139684	0.7746988367371519	-0.1614908867817339	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.4511924036425562	1	Nucleotide
pathway	PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	5	-0.025714485764043515	0.20053299758338497	-0.5824833453350737	0.5310543738069866	0.9041550174665633	0.07620635571117325	6.8805307466668	0.14233793426367095	41.864949852338675	-1.1115763522771547	1.0601473807490678	2	3	0.6	-0.46843417502231677	0.7592100970935429	-0.07144971921588078	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.4470502070235259	1	Cofactor/vitamin
pathway	P441-PWY: superpathway of N-acetylneuraminate degradation	5	0.127136593338752	0.19803754364065584	-0.42270377534774134	0.6769769620252453	0.5558271496814885	0.06552489003110941	6.858932123486133	0.14353347255307877	41.681883885345215	-0.9028347987258094	1.1571079854033135	3	2	0.6	-0.5507721593545741	0.8243699153249359	0.15375173298068887	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.4421195043335084	1	Other
pathway	PWY-5083: NAD/NADH phosphorylation and dephosphorylation	5	-0.17463554033297293	0.19683086770112865	-0.721125639513606	0.37185455884766017	0.42507852772185956	0.04684992131638945	6.7555075033513425	0.14938655540642778	40.789052517288475	-1.1056972429872345	0.7564261623212887	2	3	0.6	-0.8897027480318308	0.3656308092158685	-0.1810136898472935	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.3949114300791789	0	Cofactor/vitamin
pathway	PWY-7400: L-arginine biosynthesis IV (archaebacteria)	5	-0.029755405930917606	0.19400368717435906	-0.5683959935764907	0.5088851817146555	0.8855286925828588	0.06494249107474187	6.5962372463011105	0.15882676076509916	39.359367308338854	-1.0490325047009759	0.9895216928391407	2	3	0.6	-0.4531845869890533	0.7228993503097085	-0.09063230442501964	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.4103487933692927	1	Amino acid
pathway	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	5	-0.029111999606832174	0.19333701299363068	-0.5659016029865603	0.507677603772896	0.8875979592200518	0.06380495614424253	6.567845422658375	0.1605654550139698	39.097226828749335	-1.0414308950074318	0.9832068957937675	2	3	0.6	-0.4482988628657311	0.7230777917099214	-0.09086475898722841	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.4113330559550453	1	Amino acid
pathway	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	5	-0.01906160735496872	0.19250499183199796	-0.5535411496530607	0.5154179349431232	0.9258872291674128	0.06205044343433201	6.54391965906318	0.16204403963142747	38.87455518406173	-1.0209441035410118	0.9828208888310743	2	3	0.6	-0.4118593797181726	0.7258857892457089	-0.09656229664674562	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.40307597982990706	1	Amino acid
pathway	PWY-621: sucrose degradation III (sucrose invertase)	5	0.03416066778491728	0.1904635750102918	-0.49465099277088015	0.5629723283407148	0.866377408966553	0.06743941345009048	6.514360623195666	0.16388779385095473	38.59719730962988	-0.9907441111650328	1.0590654467348675	3	2	0.6	-0.4225854434256416	0.8062191821949687	0.013693460515141401	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255	STUDY_SPECIFIC	0.6075220006756191	1	Other
