layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q	classification	dominant_study_absolute_effect_share	any_leave_one_study_sign_flip	functional_category
pathway	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	5	-0.28256750235863887	0.12256280993126097	-0.6228564160715759	0.05772141135429815	0.08243971741042123	4.168452000552227e-11	3.653780231628848	0.4548839682459831	0.0	-0.6726170645307564	0.10748205981347869	2	3	0.6	-0.7548263184946972	0.3172102012950474	-0.32781022493390427	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.43240365111966966	0	Other
pathway	FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	5	0.25677664474786316	0.12221919809203835	-0.08255824955597624	0.5961115390517026	0.10354198228907047	4.069671389761042e-11	1.6668209747263245	0.7967354395448089	0.0	-0.1321793911847295	0.6457326806804558	3	2	0.6	-0.08047575047672736	0.40412170390674257	0.2523475947967269	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.3677806310430504	0	Cofactor/vitamin
pathway	PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	5	-0.2714105425974635	0.12955208413181768	-0.6311047924534214	0.08828370725849444	0.10424113975749898	4.2468788876988196e-11	4.465514295027214	0.3466561999744151	10.42465132281873	-0.6837030946061935	0.1408820094112665	1	4	0.8	-0.8403504410658447	0.41854151309666077	-0.317367993853293	0	1	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.4354118166166909	0	Other
pathway	SO4ASSIM-PWY: sulfate reduction I (assimilatory)	5	0.2535924766453662	0.12220437997494095	-0.08570127596978983	0.5928862292605223	0.1066065012251499	4.175795156751563e-11	1.605496865480493	0.8078038375076668	0.0	-0.13531640143910123	0.6425013547298337	4	1	0.8	-0.11978167873002935	0.5284994575737515	0.32872817801921045	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3341775057295998	0	Other
pathway	HISDEG-PWY: L-histidine degradation I	5	-0.2528506402017161	0.12223839538080027	-0.5922388347239715	0.08653755432053933	0.10741202389665686	4.079100828070563e-11	1.954945889925908	0.744045413894206	0.0	-0.6418677704761448	0.13616649007271264	1	4	0.8	-0.6415624579612151	0.10046853357249515	-0.23433131198385931	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.42260036363364456	0	Amino acid
pathway	PWY-6612: superpathway of tetrahydrofolate biosynthesis	5	0.2525928711834315	0.12219203584940198	-0.08666660864479392	0.5918523510116569	0.10757338489400907	4.069171145264389e-11	1.5731457698703988	0.8136103690518689	0.0	-0.13627672237049254	0.6414624647373555	3	2	0.6	-0.08401635630597006	0.3996384784136745	0.2603365395665667	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.37045045215180605	0	Cofactor/vitamin
pathway	SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	5	0.25043437070058083	0.12219479185294563	-0.08883276102019327	0.589701502421355	0.10975652507703167	4.1140972661816137e-11	1.6260379155229219	0.8041048808653436	0.0	-0.13844399369247629	0.639312735093638	4	1	0.8	-0.1149872596941402	0.5382555364975187	0.21342784935866735	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.39337016576360845	0	Amino acid
pathway	PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	5	0.2482195867562662	0.12218756425419144	-0.0910274779333245	0.5874666514458569	0.11202596800378495	4.0979602091971265e-11	1.6389932608429287	0.801767395061108	0.0	-0.1406357761897698	0.6370749497023023	4	1	0.8	-0.0976782863430371	0.5382769080033966	0.17088528934593863	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.42304314059127485	0	Amino acid
pathway	FAO-PWY: fatty acid &beta;-oxidation I	5	0.2866100933287337	0.1427512091096256	-0.10973080246475297	0.6829509891222204	0.11509272524147379	0.014821789953028375	3.222267306639854	0.5213419198620788	0.0	-0.3104671946090916	0.8836873812665591	5	0	1.0	0.09002104768751522	0.7792423122289188	0.4982359621186115	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.35451005428472804	0	Lipid
pathway	PWY-6891: thiazole biosynthesis II (Bacillus)	5	0.30747696284546444	0.1587849907793211	-0.1333808475826584	0.7483347732735872	0.12488782568630082	0.030652253585202467	3.8366166418649867	0.42856870531079017	0.0	-0.44471848746952847	1.0596724131604573	5	0	1.0	0.04670701572264168	0.698996667079215	0.5071020969168115	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3170412368187853	0	Other
pathway	PWY-5918: superpathay of heme biosynthesis from glutamate	5	0.23320674040610387	0.122054579763558	-0.1056711001454004	0.5720845809576082	0.12864568396697426	4.132459520220055e-11	1.018190662041358	0.9070252608464905	0.0	-0.15522540654413483	0.6216388873563425	5	0	1.0	0.07317143351150167	0.4838403109592229	0.2532896088623537	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.34295148424655836	0	Amino acid
