species	pathway	partial_spearman_rho_study_adjusted	partial_spearman_p	partial_spearman_fdr_q	response_effect_vector_spearman_rho	common_effect_studies	response_effect_sign_agreement	concordant_positive	concordant_inverse	v2_category	v2_species	v1_species_feature	abs_partial_rho
species:Actinomyces graevenitzii	PWY-6612: superpathway of tetrahydrofolate biosynthesis	0.2107650590665242	0.0004777868579422112	0.00690912006934411	0.7	4	0.75	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.2107650590665242
species:Actinomyces graevenitzii	FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.20962453342554027	0.0005135709837372286	0.007297028755600756	0.7	4	0.75	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.20962453342554027
species:Actinomyces graevenitzii	PWY-6703: preQ0 biosynthesis	-0.19455913293357485	0.0012870278579927479	0.014358314375687738	-0.9	4	0.5	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.19455913293357485
species:Actinomyces graevenitzii	RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	-0.1905418806004947	0.0016263703136388998	0.017164150775044438	-0.7000000000000001	4	0.5	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.1905418806004947
species:Actinomyces graevenitzii	P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0.18932752227012295	0.0017440189680347894	0.018058326020100927	0.7	4	0.5	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.18932752227012295
species:Actinomyces graevenitzii	PWY-6897: thiamin salvage II	-0.1865320121479298	0.0020449907085261006	0.020345245425648313	-0.7000000000000001	4	0.5	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.1865320121479298
species:Actinomyces graevenitzii	GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.18122409922755472	0.0027501404578999245	0.02537958530848922	-0.7999999999999999	4	0.25	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.18122409922755472
species:Actinomyces graevenitzii	METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.1762966280658225	0.0035954469010565015	0.030809979264867823	-0.6000000000000001	4	0.5	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.1762966280658225
species:Actinomyces graevenitzii	HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.17560586943891335	0.003731104292728932	0.031634712748187625	-0.3	4	0.5	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.17560586943891335
species:Actinomyces graevenitzii	MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.1741889895012455	0.004023939374276753	0.033403167637426276	-0.6000000000000001	4	0.5	0	0	DOMAIN_SPECIFIC	s__Actinomyces_graevenitzii	species:Actinomyces graevenitzii	0.1741889895012455
